dataset,training_regime,seed,variant_a,variant_b,comparison,kendall_tau,kendall_tau_at_1,kendall_tau_at_3,instance_count,valid_tau_count,valid_tau_at_1_count,valid_tau_at_3_count
dblp_lp,DBLP1--3,20241017,v1,v2,DBLP1 vs DBLP2,nan,nan,nan,2666,0,0,0
dblp_lp,DBLP1--3,20241017,v1,v3,DBLP1 vs DBLP3,nan,nan,nan,2666,0,0,0
dblp_lp,DBLP1--3,20241017,v2,v3,DBLP2 vs DBLP3,nan,nan,nan,2666,0,0,0
dblp_lp,DBLP1--3,20251017,v1,v2,DBLP1 vs DBLP2,0.9471008703184441,0.9710743801652892,0.8630983231392293,2666,2441,484,2428
dblp_lp,DBLP1--3,20251017,v1,v3,DBLP1 vs DBLP3,0.9524467289225007,0.9752066115702479,0.8710635848375824,2666,2441,484,2428
dblp_lp,DBLP1--3,20251017,v2,v3,DBLP2 vs DBLP3,0.9903780708435785,0.9876543209876543,0.9856048166392994,2666,2441,486,2436
dblp_lp,DBLP1--3,1566911444,v1,v2,DBLP1 vs DBLP2,0.9382511766578737,nan,0.7298050139275766,2666,718,0,718
dblp_lp,DBLP1--3,1566911444,v1,v3,DBLP1 vs DBLP3,1.0,nan,1.0,2666,718,0,718
dblp_lp,DBLP1--3,1566911444,v2,v3,DBLP2 vs DBLP3,0.9382511766578737,nan,0.7298050139275766,2666,718,0,718
