seed,super_epochs_ran,variant_epochs_ran,batches_per_variant,optimizer_steps,training_seconds,best_mean_val_loss,mean_test_AUC,mean_test_AP,mean_test_Precision,mean_test_Recall,mean_test_F1,mean_test_Accuracy,mean_test_Hits@1,mean_test_Hits@3,mean_test_Hits@5,mean_test_MRR,mean_test_ranking_queries,mean_test_edge_count
1566911444,20,60,10,600,51.118088964838535,1.1445670525232952,0.4681338736159409,0.23976715536095594,0.2315503720088478,0.86384096024006,0.3652077386615921,0.24924981245311328,0.8582145536384096,0.859964991247812,1.0,0.8938067850295908,2666.0,279998.0
20241017,51,153,10,1530,129.46857081493363,0.6943599979082743,0.5,0.25,0.25,1.0,0.4000000000000001,0.25,1.0,1.0,1.0,1.0,2666.0,279998.0
20251017,34,102,10,1020,86.06043602409773,4.685345490773519,0.41287290283436073,0.21317403763537981,0.2099304336868232,0.48687171792948236,0.29336616810764804,0.41363465866466614,0.4713678419604901,0.6286571642910728,1.0,0.621301158622987,2666.0,279998.0
