variant,candidate_BCE,AUC,AP,Precision,Recall,F1,Accuracy
no_changes,0.1746264547109604,0.882993826280631,0.620439427018249,0.9051620648259304,0.48117421825143586,0.6283333333333333,0.9888384198606054
all_inverse_edges,0.18572112917900085,0.9045014618269518,0.6643310329737111,0.9223826714801444,0.4891512444160817,0.6392827356130109,0.9891762703805198
universal_edges,0.1558135449886322,0.9126198620722795,0.6673453917122597,0.8751351351351352,0.5165922144224633,0.6496789727126806,0.9890761665227674
