variant_a,variant_b,kendall_tau_flat_logits,kendall_tau_confidence,prediction_agreement,max_abs_logit_diff,mean_abs_logit_diff,mean_l2_logit_diff
v1,v2,0.6713864655837658,0.4827714642258614,0.784688995215311,10.357568740844727,1.6936588287353516,3.2577147483825684
v1,v3,0.723132485818019,0.5310540543299808,0.8253588516746412,9.96835708618164,1.464310884475708,2.813711643218994
v1,v4,0.9174668185857908,0.8350941833938084,0.937799043062201,3.831064224243164,0.3253962993621826,0.6275684237480164
v2,v3,0.7979621970762566,0.6879523250150418,0.9210526315789473,3.868277072906494,0.3427288830280304,0.6602046489715576
v2,v4,0.6864619575555272,0.5123141982962274,0.8074162679425837,9.970317840576172,1.4739538431167603,2.832648515701294
v3,v4,0.6755190729116369,0.4587654858711302,0.7990430622009569,9.788093566894531,1.3461006879806519,2.587480068206787
