variant_a,variant_b,candidate_count,query_count,kendall_tau_scores,prediction_agreement,rank_agreement,kendall_tau_positive_ranks,hits_at_1_agreement,hits_at_3_agreement,max_abs_score_diff,mean_abs_score_diff
v1,v2,16720,836,0.42730207115029556,0.6382177033492823,0.19258373205741627,0.19271651774809745,0.7882775119617225,0.5825358851674641,0.9859279676747974,0.23190329917746041
v1,v3,16720,836,0.5803895387115191,0.7703349282296651,0.24282296650717702,0.2737601441643169,0.80622009569378,0.6172248803827751,0.9498947453685105,0.14327502879119774
v1,v4,16720,836,0.6422570674750757,0.8351674641148326,0.3014354066985646,0.40348432591845884,0.8444976076555024,0.6866028708133971,0.9628167673945427,0.12134542556919517
v2,v3,16720,836,0.6080183733329109,0.7873803827751196,0.3241626794258373,0.4824670591736778,0.8528708133971292,0.7476076555023924,0.958541254978627,0.12842863117182202
v2,v4,16720,836,0.5682799673999219,0.7312799043062201,0.2930622009569378,0.4376848347124593,0.8265550239234449,0.7141148325358851,0.9594877045601606,0.15357824107823187
v3,v4,16720,836,0.43848704026092544,0.7172248803827751,0.22727272727272727,0.22825520465665639,0.7631578947368421,0.6339712918660287,0.9622348737902939,0.16578828235633342
