seed,aggregation_backend,edge_chunk_size,super_epochs_ran,variant_epochs_ran,optimizer_steps,training_seconds,best_mean_val_loss,mean_test_Accuracy,mean_test_Precision_macro,mean_test_Recall_macro,mean_test_Micro_F1,mean_test_Macro_F1,mean_test_NLL,mean_test_edge_count
1566911444,chunked_recompute_exact_mean,250000,84,168,168,1202.9313250950072,0.9549254477024078,0.6976744186046511,0.6276051051028892,0.5365678166452406,0.6976744186046511,0.5658702353316514,0.9356385469436646,48426679.0
20241017,chunked_recompute_exact_mean,250000,93,186,186,1332.3461839731317,0.9821488559246063,0.690131992457574,0.6213588981344401,0.5324954317626631,0.690131992457574,0.5610600600195712,0.9687568247318268,48426679.0
20251017,chunked_recompute_exact_mean,250000,100,200,200,1431.1971648449544,0.9795020520687103,0.6970458830923947,0.6261876867892849,0.5407750703436119,0.6970458830923947,0.5720082430581159,0.9618567824363708,48426679.0
