super_epoch,variant_order,variant_epochs_cumulative,optimizer_steps_cumulative,train_graph_forwards_cumulative,validation_graph_forwards_cumulative,mean_train_loss,mean_val_loss,mean_val_macro_f1,best_mean_val_loss,cycle_seconds,train_loss_v1,val_loss_v1,val_macro_f1_v1,val_accuracy_v1,train_loss_v2,val_loss_v2,val_macro_f1_v2,val_accuracy_v2,train_loss_v3,val_loss_v3,val_macro_f1_v3,val_accuracy_v3,train_loss_v4,val_loss_v4,val_macro_f1_v4,val_accuracy_v4
1,"v4,v2,v1,v3",4,4,4,4,1.073213368654251,0.9129809737205505,0.575090019161187,0.9129809737205505,0.24885648884810507,1.0094335079193115,0.8988624811172485,0.5977912121694987,0.6028708133971292,1.1112679243087769,0.9302664399147034,0.5538261561717261,0.5550239234449761,0.9533931016921997,0.9121406674385071,0.5621027913241519,0.5717703349282297,1.2187589406967163,0.9106543064117432,0.5866399169793709,0.5909090909090909
2,"v1,v2,v4,v3",8,8,8,8,0.7457483410835266,0.8700848370790482,0.6237739797913542,0.8700848370790482,0.235439692158252,0.8114093542098999,0.863381028175354,0.6331532442419053,0.6363636363636364,0.7904084324836731,0.8852657079696655,0.6074055564810187,0.6076555023923444,0.6679224967956543,0.8551701903343201,0.6442511382378134,0.645933014354067,0.7132530808448792,0.876522421836853,0.6102859802046794,0.6148325358851675
3,"v1,v3,v4,v2",12,12,12,12,0.6009087413549423,0.8503144532442093,0.6339577562685809,0.8503144532442093,0.2495138649828732,0.6562889814376831,0.8371474146842957,0.6426660788476192,0.6435406698564593,0.5479268431663513,0.8766889572143555,0.6218015150393564,0.6196172248803827,0.6018819212913513,0.8380666375160217,0.645685899336154,0.645933014354067,0.5975372195243835,0.8493548035621643,0.6256775318511938,0.6267942583732058
4,"v4,v1,v2,v3",16,16,16,16,0.5171330198645592,0.8598917722702026,0.6293956233811331,0.8503144532442093,0.21095115994103253,0.5270340442657471,0.8458995223045349,0.642972788192234,0.6435406698564593,0.4988265931606293,0.8859601020812988,0.615156028805318,0.6172248803827751,0.497276246547699,0.8579124212265015,0.6268418933217255,0.6291866028708134,0.5453951954841614,0.8497950434684753,0.632611783205255,0.6363636363636364
5,"v1,v3,v2,v4",20,20,20,20,0.48696306347846985,0.8511510193347931,0.6374235514536937,0.8503144532442093,0.2152499589137733,0.4890560209751129,0.848594069480896,0.6401804853760628,0.638755980861244,0.48983892798423767,0.865502655506134,0.6333157211824929,0.6339712918660287,0.4887924790382385,0.8440038561820984,0.6373805305757365,0.6363636363636364,0.4801648259162903,0.846503496170044,0.6388174686804824,0.638755980861244
6,"v3,v2,v4,v1",24,24,24,24,0.4796912521123886,0.845777839422226,0.6442368313791861,0.845777839422226,0.24175617704167962,0.4765722155570984,0.8469390869140625,0.6490831927531562,0.65311004784689,0.48337578773498535,0.8519282937049866,0.6264663926272125,0.631578947368421,0.4804193675518036,0.8452215790748596,0.6575663159328498,0.6602870813397129,0.4783976376056671,0.8390223979949951,0.643831424203526,0.645933014354067
7,"v3,v4,v1,v2",28,28,28,28,0.4772912338376045,0.8554073870182037,0.6283682512499004,0.845777839422226,0.21980159194208682,0.4769170582294464,0.8501434922218323,0.631043834933778,0.6339712918660287,0.4772702157497406,0.8689444661140442,0.6314228220374049,0.6363636363636364,0.4775530695915222,0.8472461104393005,0.6361243469525811,0.638755980861244,0.47742459177970886,0.8552954792976379,0.6148820010758375,0.6172248803827751
8,"v1,v3,v4,v2",32,32,32,32,0.47668927162885666,0.8773066997528076,0.6261185318580448,0.845777839422226,0.22420195117592812,0.47748491168022156,0.8652130365371704,0.6446778263339584,0.6435406698564593,0.4764508903026581,0.904350221157074,0.6044635324794846,0.6028708133971292,0.47637733817100525,0.8686133027076721,0.6272677457644296,0.6267942583732058,0.47644394636154175,0.871050238609314,0.6280650228543065,0.6267942583732058
9,"v2,v1,v4,v3",36,36,36,36,0.4755920246243477,0.8939309865236282,0.6210707735181901,0.845777839422226,0.20747816213406622,0.47532251477241516,0.8779597878456116,0.634455331354799,0.6363636363636364,0.47593650221824646,0.927166759967804,0.5939592855369228,0.5933014354066986,0.4753958284854889,0.8833040595054626,0.6312024169997889,0.631578947368421,0.47571325302124023,0.8872933387756348,0.6246660601812496,0.6244019138755981
10,"v1,v2,v4,v3",40,40,40,40,0.47675465047359467,0.8875257819890976,0.6284499654604611,0.845777839422226,0.21629482903517783,0.4753817319869995,0.8668965697288513,0.6365576119373023,0.6339712918660287,0.47758808732032776,0.9216700196266174,0.6133688251960886,0.6100478468899522,0.4773024618625641,0.8819358348846436,0.6270376732759332,0.6244019138755981,0.4767463207244873,0.8796007037162781,0.6368357514325204,0.6339712918660287
11,"v4,v3,v1,v2",44,44,44,44,0.47770801186561584,0.8836372941732407,0.6229231394174728,0.845777839422226,0.22279590787366033,0.4774407744407654,0.8632315397262573,0.6370896311764296,0.6363636363636364,0.47879648208618164,0.914893388748169,0.5995363624683748,0.5956937799043063,0.47774258255958557,0.8809753060340881,0.6211353448162097,0.6196172248803827,0.4768522083759308,0.8754489421844482,0.6339312192088774,0.631578947368421
12,"v2,v4,v1,v3",48,48,48,48,0.478161059319973,0.8864666372537613,0.6153844166348588,0.845777839422226,0.21581804007291794,0.47807255387306213,0.8722676038742065,0.629274241744256,0.6291866028708134,0.4781087040901184,0.9147598743438721,0.5873088720968691,0.583732057416268,0.4785076081752777,0.8845469355583191,0.616294502282731,0.6148325358851675,0.4779553711414337,0.8742921352386475,0.6286600504155794,0.6291866028708134
13,"v4,v1,v2,v3",52,52,52,52,0.47775666415691376,0.8968350440263748,0.5976150047272829,0.845777839422226,0.2124094101600349,0.4777686297893524,0.8769261837005615,0.6209796450989382,0.6196172248803827,0.47918692231178284,0.9286037087440491,0.5625300637613357,0.5598086124401914,0.47657275199890137,0.8967693448066711,0.59127072500061,0.5885167464114832,0.4774983525276184,0.8850409388542175,0.6156795850482476,0.6148325358851675
14,"v2,v3,v4,v1",56,56,56,56,0.47617585211992264,0.8998866081237793,0.589513006051164,0.845777839422226,0.2242088271304965,0.47469043731689453,0.8807226419448853,0.619680074029019,0.6172248803827751,0.4785756468772888,0.9311690330505371,0.5478656132751482,0.5526315789473685,0.47595393657684326,0.8918115496635437,0.58359295448322,0.5861244019138756,0.47548338770866394,0.8958432078361511,0.6069133824172684,0.6052631578947368
15,"v4,v1,v3,v2",60,60,60,60,0.4737168624997139,0.9291470348834991,0.568755267233989,0.845777839422226,0.22916140803135931,0.4730040729045868,0.9252393245697021,0.5994462751812865,0.6004784688995215,0.4736921489238739,0.939410924911499,0.5290887250249867,0.5430622009569378,0.4740353524684906,0.9156100153923035,0.5587757768484471,0.5645933014354066,0.4741358757019043,0.9363278746604919,0.5877102918812357,0.5909090909090909
16,"v2,v1,v4,v3",64,64,64,64,0.4709085673093796,0.9834932833909988,0.5488977123965149,0.845777839422226,0.21249693096615374,0.47021549940109253,0.9803881049156189,0.5644619303510364,0.5669856459330144,0.4726642668247223,1.0060843229293823,0.5044879447540321,0.5143540669856459,0.47000887989997864,0.9655348658561707,0.5603238975229529,0.5645933014354066,0.47074562311172485,0.9819658398628235,0.5663170769580379,0.569377990430622
17,"v3,v2,v1,v4",68,68,68,68,0.4690030664205551,0.9788781702518463,0.5426736669670968,0.845777839422226,0.21685302490368485,0.4717995822429657,0.9632033109664917,0.5685965069379008,0.5741626794258373,0.46870458126068115,1.0040886402130127,0.5076308394915131,0.5263157894736842,0.4676849842071533,0.9806170463562012,0.5382256185193762,0.5502392344497608,0.4678231179714203,0.9676036834716797,0.5562417029195972,0.5645933014354066
18,"v4,v3,v1,v2",72,72,72,72,0.468681201338768,1.0211635828018188,0.5230247000174962,0.845777839422226,0.21045498317107558,0.4697270095348358,1.0073127746582031,0.5410830509787612,0.5454545454545454,0.46696245670318604,1.0382791757583618,0.5022515092993719,0.5143540669856459,0.46848469972610474,1.0239837169647217,0.5134928367126509,0.5215311004784688,0.46955063939094543,1.0150786638259888,0.5352714030792008,0.5406698564593302
19,"v1,v2,v4,v3",76,76,76,76,0.46811554580926895,1.0105762630701065,0.5386422539387259,0.845777839422226,0.25030327099375427,0.46906229853630066,0.9923695921897888,0.5541122705575883,0.5502392344497608,0.46937116980552673,1.0319106578826904,0.5257794517681523,0.5239234449760766,0.46758076548576355,1.0162421464920044,0.5290710444595925,0.5263157894736842,0.46644794940948486,1.0017826557159424,0.5456062489695706,0.5406698564593302
20,"v4,v2,v1,v3",80,80,80,80,0.46994075179100037,1.0222607553005219,0.5356087066927386,0.845777839422226,0.23254901496693492,0.4689217507839203,1.005807876586914,0.5580908289241622,0.5526315789473685,0.46904057264328003,1.0440763235092163,0.5221426522063465,0.5167464114832536,0.474529892206192,1.019858956336975,0.5316107646256171,0.5263157894736842,0.46727079153060913,1.019299864768982,0.5305905810148287,0.5263157894736842
21,"v4,v3,v1,v2",84,84,84,84,0.4746842160820961,1.0399878323078156,0.5249350926525633,0.845777839422226,0.24260818492621183,0.4732891023159027,1.022240400314331,0.5473655189100636,0.5454545454545454,0.47659769654273987,1.058570384979248,0.5020242948796657,0.5,0.47834110260009766,1.0334864854812622,0.5316903955389217,0.5311004784688995,0.47050896286964417,1.045654058456421,0.5186601612816025,0.5167464114832536
22,"v2,v3,v1,v4",88,88,88,88,0.4755973815917969,1.019874483346939,0.49428621418368424,0.845777839422226,0.2501416830345988,0.4785536229610443,1.011232614517212,0.49980337232932387,0.5143540669856459,0.4743955731391907,1.0355839729309082,0.48577619498757735,0.49760765550239233,0.47578439116477966,1.0090547800064087,0.5054503998639408,0.5191387559808612,0.47365593910217285,1.0236265659332275,0.48611488955389487,0.5
23,"v1,v4,v2,v3",92,92,92,92,0.47684095054864883,1.0398283898830414,0.5068718000958916,0.845777839422226,0.2183120569679886,0.4767586588859558,1.0324912071228027,0.5170585107278892,0.5287081339712919,0.4774322509765625,1.0437309741973877,0.4975845833035996,0.5047846889952153,0.47624602913856506,1.0320191383361816,0.5188809665842874,0.5287081339712919,0.47692686319351196,1.0510722398757935,0.49396313976778994,0.507177033492823
24,"v1,v2,v3,v4",96,96,96,96,0.4746033623814583,1.0347696244716644,0.5141104118617641,0.845777839422226,0.21676910715177655,0.4757945239543915,1.028074026107788,0.5183011545860648,0.5167464114832536,0.4759763777256012,1.0524146556854248,0.5030667408759282,0.5023923444976076,0.4728178381919861,1.0244094133377075,0.5199841111528481,0.5191387559808612,0.47382470965385437,1.0341804027557373,0.5150896408322151,0.5143540669856459
25,"v3,v4,v1,v2",100,100,100,100,0.47321056574583054,1.0519942045211792,0.4961360835147399,0.845777839422226,0.2208972678054124,0.47317448258399963,1.0600416660308838,0.4901068228486823,0.49282296650717705,0.47229984402656555,1.0483297109603882,0.4950443777110444,0.49760765550239233,0.4722623825073242,1.048842191696167,0.49501822403957796,0.49760765550239233,0.47510555386543274,1.0507632493972778,0.5043749094596551,0.5095693779904307
26,"v3,v2,v4,v1",104,104,104,104,0.47294938564300537,1.0581484735012054,0.5069217387134357,0.845777839422226,0.21818681620061398,0.4756166338920593,1.0599545240402222,0.5036655705188433,0.5,0.4729461669921875,1.0556402206420898,0.5098452592720109,0.507177033492823,0.47057560086250305,1.052593469619751,0.5178529470923671,0.5143540669856459,0.4726591408252716,1.0644056797027588,0.49632317797052194,0.49760765550239233
