variant_a,variant_b,candidate_count,query_count,kendall_tau_scores,prediction_agreement,rank_agreement,kendall_tau_positive_ranks,hits_at_1_agreement,hits_at_3_agreement,max_abs_score_diff,mean_abs_score_diff
v1,v2,16720,836,0.5721082236569791,0.8611244019138756,0.5059808612440191,0.4118122587635469,0.7165071770334929,0.854066985645933,0.9999828338623004,0.11409154020265898
v1,v3,16720,836,0.679269924197869,0.9193181818181818,0.6208133971291866,0.5613956983049514,0.7799043062200957,0.9055023923444976,0.9999915361404376,0.07727266607783623
v1,v4,16720,836,0.8700203434263651,0.9131578947368421,0.6734449760765551,0.6693013258967877,0.8492822966507177,0.9090909090909091,0.9911728240549564,0.060833242656786184
v2,v3,16720,836,0.7881403344259523,0.9089114832535885,0.6255980861244019,0.6433520812788482,0.8456937799043063,0.8863636363636364,0.9943120344396448,0.07003297710725605
v2,v4,16720,836,0.6071431173911779,0.9239234449760766,0.5753588516746412,0.5506460183606151,0.7667464114832536,0.8923444976076556,0.9999828338623044,0.07949708891462473
v3,v4,16720,836,0.6419096068223828,0.9014952153110047,0.5586124401913876,0.4648689425324389,0.7368421052631579,0.8720095693779905,0.9999915361404416,0.09358402939287952
