super_epoch,variant_order,variant_epochs_cumulative,optimizer_steps_cumulative,batches_per_variant,updates_per_super_epoch,mean_train_loss,mean_val_loss,best_mean_val_loss,mean_val_macro_f1,cycle_seconds,train_loss_unchanged,val_loss_unchanged,val_macro_f1_unchanged,val_accuracy_unchanged,train_loss_exact_2,val_loss_exact_2,val_macro_f1_exact_2,val_accuracy_exact_2
1,"exact_2,unchanged",2,2,1,2,2.0698894262313843,2.0561076402664185,2.0561076402664185,0.293286499833823,14.214506295975298,2.0588595867156982,2.057464599609375,0.295051555891634,0.6128221244500315,2.0809192657470703,2.054750680923462,0.29152144377601197,0.6103079824010057
2,"unchanged,exact_2",4,4,1,2,2.0255324840545654,2.0293939113616943,2.0293939113616943,0.28157173554915904,14.161592117976397,2.038372755050659,2.0317277908325195,0.283069501272547,0.6222501571338781,2.0126922130584717,2.027060031890869,0.28007396982577115,0.6228786926461345
3,"exact_2,unchanged",6,6,1,2,1.9771990180015564,1.9974009990692139,1.9974009990692139,0.277579123977783,14.092711951816455,1.9671889543533325,2.0014021396636963,0.2763455309819686,0.6222501571338781,1.9872090816497803,1.9933998584747314,0.2788127169735974,0.623507228158391
4,"exact_2,unchanged",8,8,1,2,1.9200544357299805,1.9601014256477356,1.9601014256477356,0.2781055531283596,14.096413473132998,1.9099969863891602,1.9656472206115723,0.27758785444851414,0.6228786926461345,1.9301118850708008,1.954555630683899,0.27862325180820513,0.6260213702074168
5,"unchanged,exact_2",10,10,1,2,1.8537753820419312,1.916527271270752,1.916527271270752,0.2625142292280036,14.099944439018145,1.877977728843689,1.9231754541397095,0.2559933180538386,0.6184789440603394,1.8295730352401733,1.9098790884017944,0.2690351404021685,0.623507228158391
6,"exact_2,unchanged",12,12,1,2,1.778903841972351,1.864810585975647,1.864810585975647,0.243557872506863,14.091430492931977,1.7666987180709839,1.8728581666946411,0.24411439550971398,0.6147077309868008,1.7911089658737183,1.8567630052566528,0.243001349504012,0.6184789440603394
7,"unchanged,exact_2",14,14,1,2,1.6910548210144043,1.8041553497314453,1.8041553497314453,0.23893208654141898,14.100125152850524,1.7237132787704468,1.813143014907837,0.23763725716244033,0.6109365179132621,1.6583963632583618,1.7951676845550537,0.24022691592039763,0.61659333752357
8,"exact_2,unchanged",16,16,1,2,1.5912765264511108,1.7332788109779358,1.7332788109779358,0.23530938127341378,14.09060072991997,1.5747696161270142,1.7432645559310913,0.23430591210422427,0.6109365179132621,1.6077834367752075,1.7232930660247803,0.2363128504426033,0.6159648020113137
9,"unchanged,exact_2",18,18,1,2,1.4773154258728027,1.6526744365692139,1.6526744365692139,0.22794194294099385,14.098627707222477,1.5180962085723877,1.6629893779754639,0.22644693596742385,0.6084223758642363,1.4365346431732178,1.6423594951629639,0.22943694991456384,0.6153362664990571
10,"unchanged,exact_2",20,20,1,2,1.3519542813301086,1.564302146434784,1.564302146434784,0.22286272872408602,14.224958576029167,1.395027995109558,1.574492335319519,0.2213539674020412,0.6090509113764928,1.3088805675506592,1.5541119575500488,0.22437149004613086,0.6153362664990571
11,"unchanged,exact_2",22,22,1,2,1.2194936871528625,1.473028540611267,1.473028540611267,0.22267041752434424,14.10600319202058,1.2625751495361328,1.4825921058654785,0.22064546323603934,0.6077938403519799,1.1764122247695923,1.4634649753570557,0.22469537181264918,0.6159648020113137
12,"unchanged,exact_2",24,24,1,2,1.0880547165870667,1.3860593438148499,1.3860593438148499,0.21921305551676895,14.099589321995154,1.1281561851501465,1.394595742225647,0.21743588751956952,0.6084223758642363,1.0479532480239868,1.3775229454040527,0.2209902235139684,0.6153362664990571
13,"unchanged,exact_2",26,26,1,2,0.9672943353652954,1.3106614351272583,1.3106614351272583,0.22033629487674744,14.09839291498065,1.001717209815979,1.3180190324783325,0.21882815541352124,0.6103079824010057,0.9328714609146118,1.303303837776184,0.22184443433997367,0.61659333752357
14,"exact_2,unchanged",28,28,1,2,0.8636353313922882,1.2508761882781982,1.2508761882781982,0.2264443400100225,14.0968551421538,0.8449668884277344,1.2573375701904297,0.22377459385598392,0.6128221244500315,0.882303774356842,1.2444148063659668,0.2291140861640611,0.6172218730358265
