seed,super_epochs_ran,variant_epochs_ran,updates_per_super_epoch,optimizer_steps,training_seconds,best_mean_val_filtered_MRR,mean_legacy_test_raw_MRR,mean_legacy_test_filtered_MRR,mean_legacy_test_Hits@1,mean_legacy_test_Hits@3,mean_legacy_test_Hits@10,mean_legacy_test_accuracy,mean_legacy_test_precision,mean_legacy_test_recall,mean_legacy_test_macro_f1,mean_legacy_test_edge_count,mean_legacy_test_training_triples,mean_shared_candidate_candidate_BCE,mean_shared_candidate_AUC,mean_shared_candidate_AP,mean_shared_candidate_Precision,mean_shared_candidate_Recall,mean_shared_candidate_F1,mean_shared_candidate_Accuracy
1566911444,78,234,3,234,724.6270362001378,0.0008708127619077762,0.0004835571744479239,0.0004838272191894551,0.0,0.00010636034886194427,0.0008508827908955542,0.5008154293412749,0.5031137612875409,0.5404935120187194,0.35298205997689674,384711.3333333333,384711.3333333333,0.6931472420692444,0.5,0.0196078431372549,0.0196078431372549,1.0,0.038461538461538464,0.0196078431372549
20241017,33,99,3,99,307.42324268305674,0.0007883924796866874,0.00038593732460867614,0.00038627671892754734,0.0,0.00021272069772388855,0.0006913422676026378,0.5004004154310097,0.49971514567126946,0.4962954690491385,0.34993485016307324,384711.3333333333,384711.3333333333,0.6931472420692444,0.5,0.0196078431372549,0.0196078431372549,1.0,0.038461538461538464,0.0196078431372549
20251017,69,207,3,207,642.2371711230371,0.0009518291529578468,0.0010928305564448237,0.001093181548640132,0.00021272069772388855,0.0007445224420336099,0.0015954052329291638,0.502271106272758,0.504296936522786,0.5558806636885768,0.3546421289517441,384711.3333333333,384711.3333333333,0.6931472420692444,0.5,0.0196078431372549,0.0196078431372549,1.0,0.038461538461538464,0.0196078431372549
