task,seed,super_epochs_ran,variant_epochs_ran,batches_per_variant,optimizer_steps,training_seconds,best_mean_val_loss,mean_test_AUC,mean_test_AP,mean_test_Precision,mean_test_Recall,mean_test_F1,mean_test_Accuracy,mean_test_Hits@1,mean_test_Hits@3,mean_test_Hits@5,mean_test_MRR,mean_test_ranking_queries,mean_test_edge_count
md,1566911444,21,42,3,126,5.739007699070498,0.6535496115684509,0.5469179624948339,0.0659992732441849,0.05812521405879907,0.5173444976076556,0.10317187713488304,0.530950956937799,0.0819377990430622,0.19318181818181818,0.27990430622009566,0.21292625874141496,836.0,39280.0
md,20241017,21,42,3,126,4.965758704114705,0.5882013440132141,0.5738478031216752,0.07466756560854022,0.05871342543421039,0.47846889952153115,0.10458026569247575,0.5902212918660287,0.08911483253588517,0.2063397129186603,0.3068181818181818,0.22472632507052548,836.0,39280.0
md,20251017,16,32,3,96,3.704229894094169,0.7060868740081787,0.512137036577387,0.08629879417738931,0.049818161845389494,0.9635167464114832,0.0947330355935172,0.07942583732057416,0.11842105263157895,0.26794258373205737,0.37739234449760767,0.25595208435332883,836.0,39280.0
