super_epoch,variant_order,variant_epochs_cumulative,optimizer_steps_cumulative,batches_per_variant,updates_per_super_epoch,mean_train_loss,mean_val_loss,best_mean_val_loss,mean_val_macro_f1,cycle_seconds,train_loss_unchanged,val_loss_unchanged,val_macro_f1_unchanged,val_accuracy_unchanged,train_loss_exact_2,val_loss_exact_2,val_macro_f1_exact_2,val_accuracy_exact_2
1,"unchanged,exact_2",2,2,1,2,1.9518564343452454,1.6678617000579834,1.6678617000579834,0.23390684683035112,35.7873062400613,2.193160057067871,1.6671936511993408,0.2293564917251846,0.5644248900062854,1.7105528116226196,1.668529748916626,0.23845720193551764,0.5455688246385921
2,"unchanged,exact_2",4,4,1,2,1.6369632482528687,1.6568593978881836,1.6568593978881836,0.14823458120300975,33.751700477907434,1.6596978902816772,1.664373755455017,0.12539221844086926,0.48774355751099935,1.61422860622406,1.64934504032135,0.17107694396515027,0.5147705845380264
3,"exact_2,unchanged",6,6,1,2,1.646548092365265,1.6509772539138794,1.6509772539138794,0.24581932420471125,33.73120159795508,1.6569187641143799,1.65739905834198,0.22433796396266997,0.5135135135135135,1.63617742061615,1.6445554494857788,0.26730068444675253,0.5405405405405406
4,"unchanged,exact_2",8,8,1,2,1.631270170211792,1.6284831762313843,1.6284831762313843,0.2989955159115545,33.48720537498593,1.641096591949463,1.6265391111373901,0.28106116193928876,0.5405405405405406,1.621443748474121,1.6304272413253784,0.31692986988382016,0.5719673161533627
5,"exact_2,unchanged",10,10,1,2,1.6013157367706299,1.6079801321029663,1.6079801321029663,0.3462727728800017,33.94037696812302,1.59084951877594,1.6056798696517944,0.3380743921354221,0.5920804525455688,1.6117819547653198,1.6102803945541382,0.35447115362458126,0.6128221244500315
6,"unchanged,exact_2",12,12,1,2,1.5683066248893738,1.5805401802062988,1.5805401802062988,0.3716151639092486,34.45157191110775,1.5703721046447754,1.576276421546936,0.3732939051338774,0.6411062225015713,1.5662411451339722,1.5848039388656616,0.3699364226846198,0.6417347580138277
7,"exact_2,unchanged",14,14,1,2,1.5260175466537476,1.5556694269180298,1.5556694269180298,0.39938555841006795,33.86186261405237,1.5104998350143433,1.5518999099731445,0.39977382590476324,0.6605908233815211,1.5415352582931519,1.559438943862915,0.39899729091537267,0.666247642991829
8,"unchanged,exact_2",16,16,1,2,1.4956409335136414,1.5524264574050903,1.5524264574050903,0.41379880442381956,33.92172662401572,1.4932512044906616,1.5494041442871094,0.4178872807852949,0.6763042111879322,1.498030662536621,1.5554487705230713,0.40971032806234425,0.6687617850408548
9,"exact_2,unchanged",18,18,1,2,1.4812976121902466,1.5508659482002258,1.5508659482002258,0.42233454901387013,33.71059439703822,1.4760087728500366,1.5470882654190063,0.4260008600482565,0.6788183532369579,1.4865864515304565,1.5546436309814453,0.4186682379794838,0.6681332495285983
10,"unchanged,exact_2",20,20,1,2,1.4662834405899048,1.543626844882965,1.543626844882965,0.40826153588145053,33.80320509406738,1.4612247943878174,1.5427768230438232,0.4084195665706213,0.6624764299182904,1.4713420867919922,1.544476866722107,0.4081035051922797,0.6744186046511628
11,"unchanged,exact_2",22,22,1,2,1.4518327713012695,1.5446479320526123,1.543626844882965,0.3805316808230155,33.38757947017439,1.446454405784607,1.542569875717163,0.3796816450930035,0.654934003771213,1.4572111368179321,1.5467259883880615,0.38138171655302744,0.6649905719673161
12,"unchanged,exact_2",24,24,1,2,1.437075674533844,1.5393725037574768,1.5393725037574768,0.43154755540758405,33.84587825299241,1.42866849899292,1.5346101522445679,0.4438857130015862,0.6737900691389064,1.445482850074768,1.5441348552703857,0.41920939781358185,0.6706473915776241
13,"unchanged,exact_2",26,26,1,2,1.4176098108291626,1.5358451008796692,1.5358451008796692,0.4842201353228955,34.172154573956504,1.4057906866073608,1.530647873878479,0.5000626226249675,0.6913890634820867,1.4294289350509644,1.5410423278808594,0.4683776480208235,0.6838466373350094
14,"exact_2,unchanged",28,28,1,2,1.4015384912490845,1.5432406663894653,1.5358451008796692,0.4322929306183042,33.895787850022316,1.3795523643493652,1.5356924533843994,0.4453450271431137,0.6693903205531112,1.4235246181488037,1.5507888793945312,0.4192408340934947,0.6612193588937775
15,"unchanged,exact_2",30,30,1,2,1.393069326877594,1.552471101284027,1.5358451008796692,0.41073102397573885,33.66759099205956,1.3740195035934448,1.5485846996307373,0.41855829159659297,0.6499057196731616,1.4121191501617432,1.556357502937317,0.40290375635488473,0.6536769327467001
16,"exact_2,unchanged",32,32,1,2,1.3843063712120056,1.5543038845062256,1.5358451008796692,0.4389815537655254,33.536408809013665,1.3612256050109863,1.5491031408309937,0.44771934925001255,0.6543054682589566,1.407387137413025,1.5595046281814575,0.4302437582810382,0.6574481458202388
17,"exact_2,unchanged",34,34,1,2,1.3740673661231995,1.5513876676559448,1.5358451008796692,0.4255206082243339,33.7687962660566,1.3505432605743408,1.5437718629837036,0.43840980621434883,0.661847894406034,1.397591471672058,1.559003472328186,0.412631410234319,0.6436203645505971
18,"unchanged,exact_2",36,36,1,2,1.3666982650756836,1.5744423866271973,1.5358451008796692,0.3559455875977636,33.84702152409591,1.3433685302734375,1.5748225450515747,0.36764419435832296,0.627906976744186,1.3900279998779297,1.5740622282028198,0.3442469808372043,0.6348208673790069
19,"exact_2,unchanged",38,38,1,2,1.3698777556419373,1.556086003780365,1.5358451008796692,0.445868080801443,33.82595180300996,1.3467226028442383,1.547762155532837,0.46691070862707834,0.6599622878692646,1.3930329084396362,1.564409852027893,0.42482545297580776,0.6404776869893148
20,"exact_2,unchanged",40,40,1,2,1.3603626489639282,1.5587098002433777,1.5358451008796692,0.41217304437025326,33.73613018798642,1.3333462476730347,1.5511863231658936,0.43547485596045205,0.6473915776241358,1.3873790502548218,1.5662332773208618,0.3888712327800545,0.6247642991829039
21,"exact_2,unchanged",42,42,1,2,1.3534688353538513,1.5623621940612793,1.5358451008796692,0.36911801632805175,33.8073934270069,1.3243963718414307,1.5600205659866333,0.3861864485701645,0.6323067253299811,1.382541298866272,1.5647038221359253,0.35204958408593895,0.6373350094280327
22,"unchanged,exact_2",44,44,1,2,1.3507087230682373,1.558474361896515,1.5358451008796692,0.4689794091620519,33.54993856605142,1.3252676725387573,1.5557676553726196,0.491573353692692,0.666247642991829,1.3761497735977173,1.5611810684204102,0.44638546463141177,0.6580766813324953
23,"exact_2,unchanged",46,46,1,2,1.3442226648330688,1.5588929653167725,1.5358451008796692,0.44194350957803497,33.98689076397568,1.320766806602478,1.5542627573013306,0.45833169506485133,0.6555625392834695,1.3676785230636597,1.5635231733322144,0.4255553240912186,0.6455059710873664
24,"unchanged,exact_2",48,48,1,2,1.330130934715271,1.5670444965362549,1.5358451008796692,0.39438858541807675,33.35748888598755,1.3102916479110718,1.5642611980438232,0.4166529026106354,0.6429918290383406,1.3499702215194702,1.5698277950286865,0.3721242682255181,0.6379635449402892
25,"unchanged,exact_2",50,50,1,2,1.3240537643432617,1.571389377117157,1.5358451008796692,0.4521623035503398,33.761195407947525,1.3113287687301636,1.5690147876739502,0.47233136884059895,0.6593337523570082,1.3367787599563599,1.5737639665603638,0.43199323826008074,0.6492771841609051
26,"unchanged,exact_2",52,52,1,2,1.3266148567199707,1.5657837986946106,1.5358451008796692,0.4232258979873542,33.609534135088325,1.3131104707717896,1.5608859062194824,0.4447106398894643,0.6511627906976745,1.3401192426681519,1.5706816911697388,0.4017411560852442,0.6417347580138277
27,"unchanged,exact_2",54,54,1,2,1.3144413232803345,1.5805907249450684,1.5358451008796692,0.3899972320153401,33.462739404058084,1.3024089336395264,1.5720150470733643,0.41981413300629244,0.6348208673790069,1.3264737129211426,1.5891664028167725,0.3601803310243878,0.6059082338152105
28,"unchanged,exact_2",56,56,1,2,1.30995112657547,1.5759924054145813,1.5358451008796692,0.42557530626776635,33.72641059500165,1.3002145290374756,1.5706251859664917,0.44157064142177316,0.6411062225015713,1.3196877241134644,1.581359624862671,0.40957997111375954,0.6297925832809553
29,"exact_2,unchanged",58,58,1,2,1.3050284385681152,1.5682182908058167,1.5358451008796692,0.4312103562874122,33.57583972113207,1.2957314252853394,1.563535213470459,0.44215550057350367,0.650534255185418,1.3143254518508911,1.5729013681411743,0.4202652120013207,0.6455059710873664
30,"exact_2,unchanged",60,60,1,2,1.3019541501998901,1.579834759235382,1.5358451008796692,0.3709915165347283,33.54387331614271,1.2938040494918823,1.5779956579208374,0.38003805377413774,0.6297925832809553,1.310104250907898,1.5816738605499268,0.3619449792953189,0.6341923318667505
31,"exact_2,unchanged",62,62,1,2,1.300317645072937,1.5882662534713745,1.5358451008796692,0.3665974827996449,33.47343959007412,1.2894619703292847,1.58845055103302,0.3780185118006284,0.6197360150848523,1.3111733198165894,1.588081955909729,0.3551764537986614,0.61659333752357
