seed,variant,mode,epochs_trained,training_seconds,representative_training_step_seconds,checkpoint,val_raw_MRR,val_filtered_MRR,val_Hits@1,val_Hits@3,val_Hits@10,val_accuracy,val_precision,val_recall,val_macro_f1,test_raw_MRR,test_filtered_MRR,test_Hits@1,test_Hits@3,test_Hits@10,test_accuracy,test_precision,test_recall,test_macro_f1,parameter_bytes,buffer_bytes,static_model_bytes,checkpoint_bytes,process_peak_rss_bytes,training_gpu_gpu_allocated_bytes,training_gpu_gpu_reserved_bytes,training_gpu_gpu_peak_allocated_bytes,training_gpu_gpu_peak_reserved_bytes,inference_gpu_gpu_allocated_bytes,inference_gpu_gpu_reserved_bytes,inference_gpu_gpu_peak_allocated_bytes,inference_gpu_gpu_peak_reserved_bytes
1566911444,no_changes,full_training,1490,604.2039457268547,,/nfs/hpc/share/tinw/idealab/INV-GNN/src/baselines/RGCN/checkpoint/wordnet_3var_updated/best_model_R2087_seed_1566911444_variant_no_changes.pt,0.2391328066587448,0.3413147032260895,0.2900461437046803,0.37524719841793014,0.42270929466051416,0.9883606705701398,0.9501944705830905,0.724676994067238,0.7983925988197873,0.24036113917827606,0.3393387198448181,0.28844926611359284,0.37428206764518185,0.42134652201659223,0.9882628226785289,0.9519364494379087,0.7208710912571793,0.7953019622637028,39635240,0,39635240,39638592,1601499136,222283264,2438987776,1932696576,2438987776,135152128,723517440,417455104,723517440
20241017,no_changes,full_training,1630,658.623552526813,,/nfs/hpc/share/tinw/idealab/INV-GNN/src/baselines/RGCN/checkpoint/wordnet_3var_updated/best_model_R2087_seed_20241017_variant_no_changes.pt,0.23826198279857635,0.3400361239910126,0.2883981542518128,0.3764007910349374,0.4194133157547792,0.9883929840888234,0.9547806039232051,0.7229169413315755,0.7977655350585646,0.23693925142288208,0.33952537178993225,0.2898851308232291,0.37332482450542437,0.42070835992342054,0.9883066181162956,0.9554414093137702,0.7201116783663051,0.7953285042818348,39635240,0,39635240,39638572,1601499136,218531840,2373976064,1930387456,2373976064,132785152,748683264,415088128,748683264
20251017,no_changes,full_training,1650,666.6955889060628,,/nfs/hpc/share/tinw/idealab/INV-GNN/src/baselines/RGCN/checkpoint/wordnet_3var_updated/best_model_R2087_seed_20251017_variant_no_changes.pt,0.23823517560958862,0.34371691942214966,0.29218852999340805,0.3808503625576796,0.4208965062623599,0.9883218943477193,0.9533152434649321,0.7217501647989453,0.7963933498424745,0.2425919473171234,0.34740903973579407,0.29546904913848115,0.38481174218251435,0.42358008934269303,0.9884505174118148,0.9614617130669463,0.7208104658583281,0.7972002326756413,39635240,0,39635240,39638572,1601499136,218531840,2373976064,1930472448,2373976064,132785152,748683264,415088128,748683264
