variant_a,variant_b,kendall_tau_flat_logits,kendall_tau_confidence,prediction_agreement,max_abs_logit_diff,mean_abs_logit_diff,mean_l2_logit_diff
v1,v2,0.7893973429421544,0.6213686889018506,0.8516746411483254,18.654422760009766,1.6909594535827637,3.26399827003479
v1,v3,0.8058247115413366,0.663399027374949,0.8755980861244019,11.818538665771484,1.3955152034759521,2.6968448162078857
v1,v4,0.928543300449332,0.8481910843634362,0.9569377990430622,8.738578796386719,0.3975535035133362,0.7663570046424866
v2,v3,0.8723217733567701,0.780711003131893,0.9222488038277512,9.15581226348877,0.4279303252696991,0.8244017958641052
v2,v4,0.7966917511350993,0.6377759190249485,0.8588516746411483,11.909722328186035,1.3979675769805908,2.7049779891967773
v3,v4,0.7574357985837422,0.5960001722646642,0.8528708133971292,11.061773300170898,1.268290400505066,2.4566071033477783
