super_epoch,variant_order,variant_epochs_cumulative,optimizer_steps_cumulative,updates_per_super_epoch,mean_train_loss,mean_val_loss,mean_val_macro_f1,best_mean_val_loss,bad_super_epochs,cycle_seconds,train_loss_unchanged,updates_unchanged,val_loss_unchanged,val_accuracy_unchanged,val_macro_f1_unchanged,train_loss_exact_2,updates_exact_2,val_loss_exact_2,val_accuracy_exact_2,val_macro_f1_exact_2
1,"unchanged,exact_2",2,2,2,1.869896113872528,1.3960115513197695,0.10360401246071144,1.3960115513197695,0,13.33111353800632,2.290893077850342,1,1.3950128077781412,0.5059710873664363,0.10259009614516428,1.4488991498947144,1,1.3970102948613978,0.507228158390949,0.10461792877625861
2,"unchanged,exact_2",4,4,2,1.4016206860542297,1.362157163451394,0.11907013465293972,1.362157163451394,0,11.02643180405721,1.4089081287384033,1,1.360857064633284,0.5204274041483343,0.11832446160804369,1.3943332433700562,1,1.363457262269504,0.518541797611565,0.11981580769783576
3,"exact_2,unchanged",6,6,2,1.3573065400123596,1.2863771002303492,0.15200199454159302,1.2863771002303492,0,12.918118575122207,1.3415074348449707,1,1.283991302707718,0.5556253928346951,0.15180415561572655,1.3731056451797485,1,1.2887628977529806,0.5531112507856694,0.1521998334674595
4,"unchanged,exact_2",8,8,2,1.2626760005950928,1.2229623858707055,0.25973928732063123,1.2229623858707055,0,13.847539592999965,1.2879008054733276,1,1.2171332719519457,0.578252671275927,0.258472218099555,1.237451195716858,1,1.2287914997894651,0.5788812067881836,0.2610063565417075
5,"exact_2,unchanged",10,10,2,1.1825293898582458,1.2232404076279284,0.3050672258951679,1.2229623858707055,1,11.786513470113277,1.1636778116226196,1,1.21832424622391,0.5927089880578252,0.3051096612392098,1.201380968093872,1,1.2281565690319467,0.5889377749842866,0.30502479055112597
6,"unchanged,exact_2",12,12,2,1.1423853039741516,1.1671460075877067,0.2892885837254395,1.1671460075877067,0,13.536860445979983,1.1524854898452759,1,1.1631656874603478,0.5983658076681333,0.2852621719057782,1.1322851181030273,1,1.1711263277150654,0.6033940917661847,0.29331499554510077
7,"exact_2,unchanged",14,14,2,1.0856357216835022,1.144158326586374,0.324690494590324,1.144158326586374,0,13.006740199867636,1.078847050666809,1,1.1395101535425014,0.6140791954745443,0.3271932550855793,1.0924243927001953,1,1.1488064996302463,0.6090509113764928,0.32218773409506873
8,"unchanged,exact_2",16,16,2,1.0443655848503113,1.1611613431278123,0.3529371939224297,1.144158326586374,1,11.835954542970285,1.0507043600082397,1,1.1576366207677617,0.6052796983029541,0.35196818198347185,1.0380268096923828,1,1.1646860654878628,0.6033940917661847,0.35390620586138766
9,"exact_2,unchanged",18,18,2,0.9945279061794281,1.14333523217002,0.34723614175239303,1.14333523217002,0,13.46267272415571,0.9782055020332336,1,1.1416965663596954,0.6209930861093652,0.34572331371850107,1.0108503103256226,1,1.1449738979803445,0.6222501571338781,0.348748969786285
10,"unchanged,exact_2",20,20,2,0.9574456512928009,1.1706890986371388,0.33610555676068643,1.14333523217002,1,11.549610699061304,0.9628459215164185,1,1.1687968009894993,0.606536769327467,0.3417465020343233,0.9520453810691833,1,1.1725813962847782,0.6084223758642363,0.3304646114870496
11,"unchanged,exact_2",22,22,2,0.9237538874149323,1.1554918207200768,0.37773535358376087,1.14333523217002,2,11.766753643983975,0.9387231469154358,1,1.1523211598957435,0.6253928346951603,0.3781728268954938,0.9087846279144287,1,1.1586624815444104,0.6247642991829039,0.37729788027202793
12,"unchanged,exact_2",24,24,2,0.8843222856521606,1.146860486868672,0.3763654268867045,1.14333523217002,3,11.717507738852873,0.8911225199699402,1,1.1433106888534126,0.6266499057196732,0.3809223011723828,0.8775220513343811,1,1.1504102848839315,0.6209930861093652,0.3718085526010262
13,"unchanged,exact_2",26,26,2,0.8476289808750153,1.1964227816403532,0.3878190956026666,1.14333523217002,4,11.748561277985573,0.855669379234314,1,1.197543070138218,0.6216216216216216,0.39062286378385336,0.8395885825157166,1,1.1953024931424885,0.6272784412319296,0.38501532742147987
14,"exact_2,unchanged",28,28,2,0.8110118210315704,1.2283228944512028,0.36248289191531957,1.14333523217002,5,11.827123118098825,0.8025428652763367,1,1.2347238742843665,0.6084223758642363,0.3612678926755889,0.8194807767868042,1,1.221921914618039,0.6140791954745443,0.3636978911550502
15,"unchanged,exact_2",30,30,2,0.8029442727565765,1.2485447566148342,0.38001438960467493,1.14333523217002,6,11.786848705029115,0.7914503812789917,1,1.2489085986044235,0.6096794468887492,0.38249503437560983,0.8144381642341614,1,1.2481809146252447,0.6103079824010057,0.3775337448337401
16,"exact_2,unchanged",32,32,2,0.7551549077033997,1.1412674370358094,0.3775292226436021,1.1412674370358094,0,13.809991169022396,0.743705153465271,1,1.1447879228013522,0.6228786926461345,0.3728283058139951,0.7666046619415283,1,1.1377469512702665,0.6304211187932118,0.38223013947320916
17,"exact_2,unchanged",34,34,2,0.74217090010643,1.2959667264867651,0.3797602462337749,1.1412674370358094,1,12.180781324161217,0.717948317527771,1,1.2863304262580497,0.6059082338152105,0.379738116687748,0.7663934826850891,1,1.3056030267154806,0.6046511627906976,0.37978237577980184
18,"unchanged,exact_2",36,36,2,0.7218701839447021,1.1257779227762417,0.36977439703007464,1.1257779227762417,0,13.52494222810492,0.7275343537330627,1,1.1203458679694747,0.6398491514770585,0.370589113604409,0.7162060141563416,1,1.1312099775830087,0.6385920804525456,0.3689596804557403
19,"exact_2,unchanged",38,38,2,0.6789635121822357,1.3013460081180979,0.40612908934116787,1.1257779227762417,1,11.043234038865194,0.6568525433540344,1,1.2871711456415542,0.6027655562539284,0.40567032433523187,0.701074481010437,1,1.3155208705946415,0.5996228786926462,0.4065878543471038
20,"exact_2,unchanged",40,40,2,0.6438452303409576,1.1304027909637753,0.4140792829084129,1.1257779227762417,2,12.251163098029792,0.627991259098053,1,1.1173252894376788,0.6423632935260842,0.4292092642569067,0.6596992015838623,1,1.1434802924898717,0.6266499057196732,0.39894930155991914
21,"exact_2,unchanged",42,42,2,0.6275804936885834,1.2344509247428523,0.41675991612916663,1.1257779227762417,3,12.354172742925584,0.604529619216919,1,1.2269727259763044,0.6272784412319296,0.42575234154725805,0.6506313681602478,1,1.2419291235094005,0.61659333752357,0.40776749071107526
22,"unchanged,exact_2",44,44,2,0.5728218257427216,1.1726327536615653,0.43073999070684904,1.1257779227762417,4,9.598619091091678,0.5711830854415894,1,1.1656570306123493,0.6467630421118793,0.4326579158877599,0.5744605660438538,1,1.1796084767107813,0.64487743557511,0.42882206552593816
23,"exact_2,unchanged",46,46,2,0.535456657409668,1.2790839081732024,0.42651023711107716,1.1257779227762417,5,9.624415833037347,0.525414764881134,1,1.2616300801587403,0.6203645505971087,0.4252941841423982,0.5454985499382019,1,1.2965377361876644,0.61659333752357,0.42772629007975604
24,"unchanged,exact_2",48,48,2,0.5074113756418228,1.1780577391498923,0.4103980355719857,1.1257779227762417,6,10.94455395708792,0.5148640275001526,1,1.1773607844731346,0.6354494028912634,0.4062591878697581,0.49995872378349304,1,1.17875469382665,0.6348208673790069,0.41453688327421323
25,"unchanged,exact_2",50,50,2,0.48893721401691437,1.2847790787613618,0.41784082861828986,1.1257779227762417,7,10.643566119950265,0.5028004050254822,1,1.2929328184261009,0.6191074795725958,0.4183964724552915,0.47507402300834656,1,1.276625339096623,0.6228786926461345,0.4172851847812882
26,"unchanged,exact_2",52,52,2,0.463957279920578,1.2541678576081463,0.42595620913010934,1.1257779227762417,8,8.343959643971175,0.46443992853164673,1,1.260814259405508,0.6272784412319296,0.4268091950197692,0.4634746313095093,1,1.2475214558107846,0.6266499057196732,0.42510322324044947
27,"unchanged,exact_2",54,54,2,0.4402538537979126,1.2953841896165432,0.43037116413142334,1.1257779227762417,9,8.23535938304849,0.4435969293117523,1,1.2932591467164491,0.61659333752357,0.43320072015349653,0.4369107782840729,1,1.297509232516637,0.6172218730358265,0.42754160810935016
28,"unchanged,exact_2",56,56,2,0.4220520555973053,1.2654288228952062,0.4321063751422701,1.1257779227762417,10,11.864642166066915,0.4257148504257202,1,1.2618845576676072,0.6304211187932118,0.43602119889006496,0.4183892607688904,1,1.268973088122805,0.6228786926461345,0.4281915513944753
29,"exact_2,unchanged",58,58,2,0.40457388758659363,1.3322719881595746,0.42487637142164913,1.1257779227762417,11,9.876488415990025,0.39808860421180725,1,1.329590452431734,0.6216216216216216,0.4284944944090466,0.41105917096138,1,1.3349535238874153,0.6191074795725958,0.4212582484342517
30,"exact_2,unchanged",60,60,2,0.38551266491413116,1.3139787861915955,0.4190036218846735,1.1257779227762417,12,9.507926158141345,0.3807966113090515,1,1.3133291316101507,0.6153362664990571,0.42168824685927797,0.3902287185192108,1,1.3146284407730404,0.6134506599622879,0.416318996910069
31,"exact_2,unchanged",62,62,2,0.3725801408290863,1.4040286545792175,0.4124959046359912,1.1257779227762417,13,9.67981572682038,0.3677845895290375,1,1.402053699993643,0.5883092394720302,0.41677458140240947,0.37737569212913513,1,1.406003609164792,0.5813953488372093,0.40821722786957293
