super_epoch,variant_order,variant_epochs_cumulative,optimizer_steps_cumulative,batches_per_variant,train_graph_forwards_cumulative,validation_graph_forwards_cumulative,mean_train_loss,mean_val_loss,best_mean_val_loss,cycle_seconds,train_loss_v1,val_loss_v1,train_loss_v2,val_loss_v2,train_loss_v3,val_loss_v3
1,"v2,v1,v3",3,3,1,3,3,1.3862943649291992,0.6931471824645996,0.6931471824645996,0.4430435271933675,1.3862943649291992,0.6931471824645996,1.3862943649291992,0.6931471824645996,1.3862943649291992,0.6931471824645996
2,"v1,v2,v3",6,6,1,6,6,1.3862943649291992,0.6931471824645996,0.6931471824645996,0.4227840108796954,1.3862943649291992,0.6931471824645996,1.3862943649291992,0.6931471824645996,1.3862943649291992,0.6931471824645996
3,"v2,v1,v3",9,9,1,9,9,1.3862943649291992,0.6931471824645996,0.6931471824645996,0.41271502594463527,1.3862943649291992,0.6931471824645996,1.3862943649291992,0.6931471824645996,1.3862943649291992,0.6931471824645996
4,"v3,v1,v2",12,12,1,12,12,1.3862943649291992,0.6931471824645996,0.6931471824645996,0.4159629789646715,1.3862943649291992,0.6931471824645996,1.3862943649291992,0.6931471824645996,1.3862943649291992,0.6931471824645996
5,"v3,v2,v1",15,15,1,15,15,1.3862943649291992,0.6931471824645996,0.6931471824645996,0.40475215506739914,1.3862943649291992,0.6931471824645996,1.3862943649291992,0.6931471824645996,1.3862943649291992,0.6931471824645996
6,"v2,v1,v3",18,18,1,18,18,1.3862943649291992,0.6931471824645996,0.6931471824645996,0.41448729299008846,1.3862943649291992,0.6931471824645996,1.3862943649291992,0.6931471824645996,1.3862943649291992,0.6931471824645996
7,"v3,v2,v1",21,21,1,21,21,1.3862943649291992,0.6931471824645996,0.6931471824645996,0.40611595404334366,1.3862943649291992,0.6931471824645996,1.3862943649291992,0.6931471824645996,1.3862943649291992,0.6931471824645996
8,"v1,v3,v2",24,24,1,24,24,1.3862943649291992,0.6931471824645996,0.6931471824645996,0.4134151111356914,1.3862943649291992,0.6931471824645996,1.3862943649291992,0.6931471824645996,1.3862943649291992,0.6931471824645996
9,"v2,v1,v3",27,27,1,27,27,1.3862943649291992,0.6931471824645996,0.6931471824645996,0.40707312407903373,1.3862943649291992,0.6931471824645996,1.3862943649291992,0.6931471824645996,1.3862943649291992,0.6931471824645996
10,"v1,v2,v3",30,30,1,30,30,1.3862943649291992,0.6931471824645996,0.6931471824645996,0.42113015917129815,1.3862943649291992,0.6931471824645996,1.3862943649291992,0.6931471824645996,1.3862943649291992,0.6931471824645996
