variant_a,variant_b,candidate_count,query_count,kendall_tau_scores,prediction_agreement,rank_agreement,kendall_tau_positive_ranks,hits_at_1_agreement,hits_at_3_agreement,max_abs_score_diff,mean_abs_score_diff
v1,v2,16720,836,0.5075325711101769,0.8363038277511962,0.465311004784689,0.26418393384273375,0.6423444976076556,0.8480861244019139,0.9981751464074478,0.13733032226579767
v1,v3,16720,836,0.5735820249881318,0.8537081339712919,0.5263157894736842,0.4609352230035831,0.7344497607655502,0.8744019138755981,0.9971037588748004,0.11239432542880856
v1,v4,16720,836,0.7066165926516406,0.9057416267942584,0.5873205741626795,0.4997662126242785,0.7583732057416268,0.8911483253588517,0.9488365794240963,0.08550130025060017
v2,v3,16720,836,0.7330462121613887,0.8914473684210527,0.5933014354066986,0.5130382702874592,0.7619617224880383,0.8947368421052632,0.9799785950453952,0.08253875088524729
v2,v4,16720,836,0.6256982769380917,0.8833133971291866,0.5956937799043063,0.46627622120629764,0.7380382775119617,0.8995215311004785,0.9983100317185745,0.1020395311384086
v3,v4,16720,836,0.515320665952815,0.8404306220095694,0.4748803827751196,0.25506134824235366,0.645933014354067,0.8492822966507177,0.995944984975722,0.13785469432425157
