super_epoch,variant_order,variant_epochs_cumulative,optimizer_steps_cumulative,batches_per_variant,updates_per_super_epoch,mean_train_loss,mean_val_loss,best_mean_val_loss,mean_val_macro_f1,cycle_seconds,train_loss_unchanged,val_loss_unchanged,val_macro_f1_unchanged,val_accuracy_unchanged,train_loss_exact_2,val_loss_exact_2,val_macro_f1_exact_2,val_accuracy_exact_2
1,"unchanged,exact_2",2,2,1,2,2.0637234449386597,2.0485458374023438,2.0485458374023438,0.22846139598312734,14.516898051137105,2.0765273571014404,2.0496504306793213,0.2233738141423774,0.5499685732243872,2.050919532775879,2.047441244125366,0.2335489778238773,0.5581395348837209
2,"unchanged,exact_2",4,4,1,2,2.0121692419052124,2.015517473220825,2.015517473220825,0.23580798731466623,14.088358582928777,2.0270979404449463,2.018264055252075,0.2318373169241892,0.5587680703959774,1.9972405433654785,2.012770891189575,0.23977865770514323,0.5656819610307983
3,"exact_2,unchanged",6,6,1,2,1.9550760984420776,1.9768558144569397,1.9768558144569397,0.23312728710629216,14.097459017997608,1.943217158317566,1.9816536903381348,0.23226111067934455,0.5619107479572596,1.9669350385665894,1.9720579385757446,0.23399346353323974,0.5656819610307983
4,"unchanged,exact_2",8,8,1,2,1.887372612953186,1.9324172139167786,1.9324172139167786,0.23464198003142084,14.09173320303671,1.9108723402023315,1.938700556755066,0.24107318432993943,0.5707102451288498,1.8638728857040405,1.9261338710784912,0.22821077573290224,0.5644248900062854
5,"exact_2,unchanged",10,10,1,2,1.8116480112075806,1.8799912333488464,1.8799912333488464,0.22972468079249408,14.096621885895729,1.7986652851104736,1.8880608081817627,0.2381286209308815,0.5725958516656191,1.8246307373046875,1.8719216585159302,0.22132074065410665,0.562539283469516
6,"unchanged,exact_2",12,12,1,2,1.7225960493087769,1.81874018907547,1.81874018907547,0.22744022274213782,14.091473564971238,1.7553727626800537,1.828014850616455,0.23397364685197505,0.573852922690132,1.6898193359375,1.8094655275344849,0.22090679863230062,0.562539283469516
7,"exact_2,unchanged",14,14,1,2,1.6219556331634521,1.7474241256713867,1.7474241256713867,0.22123020502721602,14.103394486010075,1.605405569076538,1.7579426765441895,0.223286977053988,0.5713387806411062,1.6385056972503662,1.736905574798584,0.219173433000444,0.5675675675675675
8,"unchanged,exact_2",16,16,1,2,1.5073206424713135,1.66693514585495,1.66693514585495,0.21909474320718392,14.082855290966108,1.5485540628433228,1.6779145002365112,0.21981904489033857,0.5719673161533627,1.4660872220993042,1.6559557914733887,0.21837044152402926,0.5700817096165933
9,"exact_2,unchanged",18,18,1,2,1.3824682235717773,1.579671859741211,1.579671859741211,0.21367568805687365,14.090841358993202,1.3615169525146484,1.5908327102661133,0.21347805649458593,0.5719673161533627,1.4034194946289062,1.5685110092163086,0.21387331961916134,0.5694531741043369
10,"unchanged,exact_2",20,20,1,2,1.2531992197036743,1.4912782311439514,1.4912782311439514,0.21475309730098485,14.084237736882642,1.2959784269332886,1.5016844272613525,0.21354494004052396,0.573852922690132,1.21042001247406,1.4808720350265503,0.21596125456144571,0.5732243871778756
11,"unchanged,exact_2",22,22,1,2,1.1280491352081299,1.4090843200683594,1.4090843200683594,0.21561816828043925,14.086311714025214,1.1668779850006104,1.4183331727981567,0.21390599235363725,0.5763670647391578,1.0892202854156494,1.399835467338562,0.21733034420724126,0.5769956002514142
12,"unchanged,exact_2",24,24,1,2,1.0160540640354156,1.3389108777046204,1.3389108777046204,0.2216542569833696,14.089150966145098,1.0489355325698853,1.347037434577942,0.220728457067716,0.585166561910748,0.983172595500946,1.3307843208312988,0.22258005689902324,0.5832809553739786
13,"unchanged,exact_2",26,26,1,2,0.9211156070232391,1.2817554473876953,1.2817554473876953,0.23012503325368674,14.086681311018765,0.948335587978363,1.2891452312469482,0.23262043263944912,0.5920804525455688,0.8938956260681152,1.2743656635284424,0.22762963386792437,0.5901948460087995
14,"exact_2,unchanged",28,28,1,2,0.8401181697845459,1.2344923615455627,1.2344923615455627,0.23943259240406467,14.108742231037468,0.8260592818260193,1.2417333126068115,0.23994271177971824,0.6002514142049026,0.8541770577430725,1.227251410484314,0.23892247302841113,0.6015084852294155
15,"unchanged,exact_2",30,30,1,2,0.7690979242324829,1.194391906261444,1.194391906261444,0.24835577198252362,14.077248651068658,0.7901713252067566,1.2012478113174438,0.2466805313645433,0.6090509113764928,0.7480245232582092,1.1875360012054443,0.250031012600504,0.6134506599622879
16,"exact_2,unchanged",32,32,1,2,0.704266369342804,1.160784900188446,1.160784900188446,0.2615059815294335,14.100291803013533,0.692460834980011,1.1671935319900513,0.26289293765613414,0.6197360150848523,0.7160719037055969,1.1543762683868408,0.2601190254027329,0.6222501571338781
17,"exact_2,unchanged",34,34,1,2,0.6463887691497803,1.1337173581123352,1.1337173581123352,0.2869167326254486,14.099444766063243,0.6356717944145203,1.1394284963607788,0.2896600033839552,0.6341923318667505,0.6571057438850403,1.1280062198638916,0.2841734618669419,0.6304211187932118
18,"unchanged,exact_2",36,36,1,2,0.5955871939659119,1.11227285861969,1.11227285861969,0.3093540730416692,14.094764682929963,0.6098020672798157,1.1172345876693726,0.3075963291965199,0.6411062225015713,0.5813723206520081,1.1073111295700073,0.3111118168868185,0.6398491514770585
19,"exact_2,unchanged",38,38,1,2,0.5499750077724457,1.094663679599762,1.094663679599762,0.32032537415664875,14.085984657984227,0.541114091873169,1.0993061065673828,0.31998115457490856,0.6404776869893148,0.5588359236717224,1.0900212526321411,0.3206695937383889,0.6423632935260842
20,"exact_2,unchanged",40,40,1,2,0.5089661180973053,1.0799914002418518,1.0799914002418518,0.3321637685676928,14.088526874082163,0.501223623752594,1.0846155881881714,0.3290567672247549,0.64487743557511,0.5167086124420166,1.0753672122955322,0.3352707699106307,0.650534255185418
21,"exact_2,unchanged",42,42,1,2,0.47163407504558563,1.0677887201309204,1.0677887201309204,0.3554721429782457,14.091913094976917,0.4650934636592865,1.0726131200790405,0.3533609699722794,0.6511627906976745,0.47817468643188477,1.0629643201828003,0.35758331598421206,0.6511627906976745
22,"unchanged,exact_2",44,44,1,2,0.43741434812545776,1.0578120350837708,1.0578120350837708,0.3706699811663007,14.09827199112624,0.4482497572898865,1.0628423690795898,0.3709280229855267,0.6536769327467001,0.42657893896102905,1.0527817010879517,0.37041193934707467,0.6517913262099309
23,"exact_2,unchanged",46,46,1,2,0.4063505679368973,1.049206256866455,1.049206256866455,0.3777952308578768,14.08405597298406,0.4018932282924652,1.0545504093170166,0.37733161212712735,0.6530483972344437,0.41080790758132935,1.0438621044158936,0.3782588495886262,0.6517913262099309
24,"unchanged,exact_2",48,48,1,2,0.37728650867938995,1.0416415929794312,1.0416415929794312,0.3839715649181345,14.093077608151361,0.3875771164894104,1.047151803970337,0.3826738682363646,0.6561910747957259,0.3669959008693695,1.0361313819885254,0.3852692615999044,0.6561910747957259
25,"unchanged,exact_2",50,50,1,2,0.35024435818195343,1.034537136554718,1.034537136554718,0.3919958892337171,14.088041109032929,0.360241562128067,1.040137529373169,0.3914992740647823,0.6587052168447517,0.34024715423583984,1.028936743736267,0.3924925044026519,0.6580766813324953
26,"unchanged,exact_2",52,52,1,2,0.32487456500530243,1.027748465538025,1.027748465538025,0.4268886423057161,14.1021882398054,0.33451637625694275,1.0333354473114014,0.42731330805680523,0.6675047140163419,0.3152327537536621,1.0221614837646484,0.4264639765546269,0.6637335009428033
27,"unchanged,exact_2",54,54,1,2,0.30106525123119354,1.0212194919586182,1.0212194919586182,0.4997374053157664,14.092858924996108,0.3102763295173645,1.0266742706298828,0.4993845598812817,0.6876178504085481,0.2918541729450226,1.0157647132873535,0.500090250750251,0.6851037083595223
28,"unchanged,exact_2",56,56,1,2,0.2787216305732727,1.014898657798767,1.014898657798767,0.5099557294682623,14.083536836085841,0.2874254584312439,1.0201388597488403,0.5093699650008879,0.6895034569453174,0.2700178027153015,1.0096584558486938,0.5105414939356366,0.688874921433061
29,"exact_2,unchanged",58,58,1,2,0.25779058039188385,1.0089186429977417,1.0089186429977417,0.5179211477121343,14.100700699025765,0.25590023398399353,1.0139641761779785,0.5161171955675685,0.6876178504085481,0.25968092679977417,1.0038731098175049,0.5197250998567,0.6926461345065996
30,"exact_2,unchanged",60,60,1,2,0.2385808750987053,1.0033325552940369,1.0033325552940369,0.5194939503084949,14.08478699810803,0.23691995441913605,1.0081636905670166,0.5173694987447187,0.6882463859208046,0.24024179577827454,0.9985014200210571,0.521618401872271,0.6913890634820867
31,"exact_2,unchanged",62,62,1,2,0.22109739482402802,0.9980433285236359,0.9980433285236359,0.5300805383716307,14.086650829063728,0.2196732461452484,1.0026919841766357,0.5287751303204675,0.6907605279698303,0.22252154350280762,0.993394672870636,0.5313859464227938,0.6932746700188561
32,"unchanged,exact_2",64,64,1,2,0.20544082671403885,0.9928925633430481,0.9928925633430481,0.5302177713952021,14.086713014170527,0.21168753504753113,0.9973567128181458,0.5301174858073182,0.6932746700188561,0.19919411838054657,0.9884284138679504,0.5303180569830859,0.6926461345065996
33,"exact_2,unchanged",66,66,1,2,0.19128508120775223,0.9878116548061371,0.9878116548061371,0.5409043848789372,14.083549140021205,0.19033664464950562,0.9921869039535522,0.5424827107453722,0.6976744186046512,0.19223351776599884,0.9834364056587219,0.5393260590125023,0.6945317410433689
34,"unchanged,exact_2",68,68,1,2,0.178914412856102,0.9831223785877228,0.9831223785877228,0.5435235875395473,14.082098464947194,0.1840619295835495,0.9873688817024231,0.5429577920092824,0.6983029541169076,0.17376689612865448,0.9788758754730225,0.5440893830698122,0.6976744186046512
35,"unchanged,exact_2",70,70,1,2,0.1680484190583229,0.9789453148841858,0.9789453148841858,0.5428974684510658,14.081654730020091,0.17269164323806763,0.9830621480941772,0.5428623037901145,0.6983029541169076,0.16340519487857819,0.9748284816741943,0.5429326331120171,0.6970458830923947
36,"unchanged,exact_2",72,72,1,2,0.15860376507043839,0.9753007888793945,0.9753007888793945,0.551346485931185,14.086873233085498,0.16280364990234375,0.9792707562446594,0.5506181252867746,0.6989314896291641,0.15440388023853302,0.9713308215141296,0.5520748465755954,0.6989314896291641
37,"exact_2,unchanged",74,74,1,2,0.1503637358546257,0.9722016155719757,0.9722016155719757,0.5547398913467876,14.093942279927433,0.15037734806537628,0.9760456085205078,0.5525659979413527,0.6995600251414205,0.15035012364387512,0.9683576226234436,0.5569137847522223,0.6983029541169076
38,"exact_2,unchanged",76,76,1,2,0.14323333650827408,0.9694706201553345,0.9694706201553345,0.5745303103838042,14.091777313034981,0.1434210240840912,0.9731659889221191,0.5733883544400431,0.7071024512884978,0.14304564893245697,0.9657752513885498,0.5756722663275652,0.7064739157762414
39,"unchanged,exact_2",78,78,1,2,0.13704650104045868,0.9669672250747681,0.9669672250747681,0.5783041842393807,14.091894679935649,0.14025357365608215,0.9704817533493042,0.5774291794514091,0.7089880578252671,0.1338394284248352,0.9634526968002319,0.5791791890273522,0.7077309868007542
40,"unchanged,exact_2",80,80,1,2,0.1315493807196617,0.9646792411804199,0.9646792411804199,0.5785791269064191,14.08454789314419,0.1344800889492035,0.968061089515686,0.5797370255919742,0.7071024512884978,0.12861867249011993,0.9612973928451538,0.5774212282208641,0.7058453802639849
41,"exact_2,unchanged",82,82,1,2,0.12665463238954544,0.9627383351325989,0.9627383351325989,0.5780004452854443,14.085247242124751,0.1270962804555893,0.9660646915435791,0.579002500228075,0.7071024512884978,0.1262129843235016,0.9594119787216187,0.5769983903428135,0.7058453802639849
42,"unchanged,exact_2",84,84,1,2,0.1223355382680893,0.9610334634780884,0.9610334634780884,0.5831221776974053,14.48704613512382,0.12490624934434891,0.9642619490623474,0.5840888640081484,0.7071024512884978,0.11976482719182968,0.9578049778938293,0.5821554913866621,0.7058453802639849
43,"unchanged,exact_2",86,86,1,2,0.11842197552323341,0.9596770703792572,0.9596770703792572,0.5830389846015551,14.14335116208531,0.12083076685667038,0.9628108143806458,0.5807719045966973,0.7077309868007542,0.11601318418979645,0.9565433263778687,0.5853060646064131,0.7077309868007542
44,"exact_2,unchanged",88,88,1,2,0.1148562803864479,0.9587685167789459,0.9587685167789459,0.5793281751691418,14.091556501109153,0.11545173078775406,0.9618397355079651,0.5805113248528596,0.7071024512884978,0.11426082998514175,0.9556972980499268,0.578145025485424,0.7058453802639849
45,"unchanged,exact_2",90,90,1,2,0.11162548512220383,0.9580676257610321,0.9580676257610321,0.579687101418921,14.096443105954677,0.1138031929731369,0.9610311985015869,0.5805156096148466,0.7064739157762414,0.10944777727127075,0.9551040530204773,0.5788585932229954,0.7064739157762414
46,"unchanged,exact_2",92,92,1,2,0.10860230401158333,0.9575215578079224,0.9575215578079224,0.5778782708968262,14.092017896007746,0.11066592484712601,0.960394024848938,0.577662759077178,0.704588309239472,0.10653868317604065,0.9546490907669067,0.5780937827164744,0.7058453802639849
47,"unchanged,exact_2",94,94,1,2,0.10576272383332253,0.957034558057785,0.957034558057785,0.5795218185063911,14.087742472998798,0.10774227231740952,0.9598321914672852,0.5801576918226795,0.7064739157762414,0.10378317534923553,0.9542369246482849,0.5788859451901027,0.7064739157762414
48,"unchanged,exact_2",96,96,1,2,0.10306897386908531,0.9566124081611633,0.9566124081611633,0.5827560702630354,14.089080151868984,0.10498125106096268,0.9593369960784912,0.5801576918226795,0.7064739157762414,0.10115669667720795,0.9538878202438354,0.5853544487033915,0.7071024512884978
