super_epoch,variant_order,variant_epochs_cumulative,optimizer_steps_cumulative,batches_per_variant,train_graph_forwards_cumulative,validation_graph_forwards_cumulative,mean_train_loss,mean_val_loss,best_mean_val_loss,cycle_seconds,train_loss_v1,val_loss_v1,train_loss_v3,val_loss_v3
1,"v3,v1",2,2,1,2,2,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.11598084191791713,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
2,"v1,v3",4,4,1,4,4,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08345141308382154,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
3,"v1,v3",6,6,1,6,6,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08702934999018908,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
4,"v1,v3",8,8,1,8,8,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08767040795646608,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
5,"v1,v3",10,10,1,10,10,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08253890788182616,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
6,"v3,v1",12,12,1,12,12,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08834550390020013,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
7,"v3,v1",14,14,1,14,14,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.09250164893455803,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
8,"v3,v1",16,16,1,16,16,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08642422105185688,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
9,"v3,v1",18,18,1,18,18,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08323111105710268,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
10,"v1,v3",20,20,1,20,20,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.0885739279910922,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
11,"v3,v1",22,22,1,22,22,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.1013506359886378,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
12,"v3,v1",24,24,1,24,24,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.087023233063519,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
13,"v3,v1",26,26,1,26,26,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08537683100439608,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
14,"v3,v1",28,28,1,28,28,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.09501230507157743,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
15,"v1,v3",30,30,1,30,30,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08323026308789849,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
16,"v1,v3",32,32,1,32,32,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08772183884866536,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
17,"v3,v1",34,34,1,34,34,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08285048883408308,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
18,"v3,v1",36,36,1,36,36,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08422379195690155,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
19,"v3,v1",38,38,1,38,38,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.0901738537941128,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
20,"v1,v3",40,40,1,40,40,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.09158283099532127,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
21,"v3,v1",42,42,1,42,42,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08316249609924853,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
22,"v3,v1",44,44,1,44,44,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08490530191920698,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
23,"v3,v1",46,46,1,46,46,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08512656996026635,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
24,"v1,v3",48,48,1,48,48,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.10256167687475681,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
25,"v1,v3",50,50,1,50,50,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08472930500283837,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
26,"v3,v1",52,52,1,52,52,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08351415419019759,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
27,"v1,v3",54,54,1,54,54,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.09857116499915719,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
28,"v1,v3",56,56,1,56,56,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08485387708060443,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
29,"v1,v3",58,58,1,58,58,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08212565211579204,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
30,"v1,v3",60,60,1,60,60,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08589426800608635,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
31,"v3,v1",62,62,1,62,62,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.09233302087523043,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
32,"v1,v3",64,64,1,64,64,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08786098612472415,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
33,"v3,v1",66,66,1,66,66,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08373939199373126,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
34,"v3,v1",68,68,1,68,68,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08281620498746634,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
35,"v1,v3",70,70,1,70,70,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08339262078516185,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
36,"v3,v1",72,72,1,72,72,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08207932114601135,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
37,"v3,v1",74,74,1,74,74,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.10334769496694207,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
38,"v1,v3",76,76,1,76,76,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08952058688737452,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
39,"v3,v1",78,78,1,78,78,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.087334378156811,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
40,"v1,v3",80,80,1,80,80,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.09906994388438761,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
