super_epoch,variant_order,variant_epochs_cumulative,optimizer_steps_cumulative,batches_per_variant,train_graph_forwards_cumulative,validation_graph_forwards_cumulative,mean_train_loss,mean_val_loss,best_mean_val_loss,cycle_seconds,train_loss_v1,val_loss_v1,train_loss_v3,val_loss_v3
1,"v3,v1",2,6,3,6,2,1.7488549550374348,0.7060868740081787,0.7060868740081787,0.1735450041014701,1.5730621417363484,0.7085009217262268,1.9246477683385212,0.7036728262901306
2,"v3,v1",4,12,3,12,4,1.2857005198796592,0.7204422056674957,0.7060868740081787,0.12684542103670537,1.2663301229476929,0.733657956123352,1.3050709168116252,0.7072264552116394
3,"v1,v3",6,18,3,18,6,1.1604161659876504,0.7736484408378601,0.7060868740081787,0.12847184715792537,1.1758665641148884,0.8356505036354065,1.1449657678604126,0.7116463780403137
4,"v3,v1",8,24,3,24,8,1.7222746014595032,0.7204592525959015,0.7060868740081787,0.12711393903009593,2.363073984781901,0.6720198392868042,1.0814752181371052,0.7688986659049988
5,"v1,v3",10,30,3,30,10,1.050836225350698,0.8926568627357483,0.7060868740081787,0.13101275311782956,1.0833415985107422,0.8939364552497864,1.0183308521906536,0.8913772702217102
6,"v1,v3",12,36,3,36,12,0.9420643150806427,0.985745906829834,0.7060868740081787,0.1272717120591551,0.97601717710495,0.9922398328781128,0.9081114530563354,0.9792519807815552
7,"v3,v1",14,42,3,42,14,0.9304519792397816,0.9939867258071899,0.7060868740081787,0.12661495595239103,1.0407022436459858,0.91929030418396,0.8202017148335775,1.06868314743042
8,"v3,v1",16,48,3,48,16,0.7072908778985341,0.8866764307022095,0.7060868740081787,0.12638964504003525,0.6958896517753601,0.8010053038597107,0.7186921040217081,0.9723475575447083
9,"v3,v1",18,54,3,54,18,0.676076243321101,0.9588916301727295,0.7060868740081787,0.1251774898264557,0.7186926205952963,0.876776933670044,0.6334598660469055,1.041006326675415
10,"v3,v1",20,60,3,60,20,0.5121881912151973,1.0654355883598328,0.7060868740081787,0.12577666295692325,0.5232524871826172,1.035046100616455,0.5011238952477773,1.0958250761032104
11,"v3,v1",22,66,3,66,22,0.3774773428837458,1.320866346359253,0.7060868740081787,0.1295043348800391,0.35748156905174255,1.2267986536026,0.3974731167157491,1.4149340391159058
12,"v1,v3",24,72,3,72,24,0.264116274813811,1.4307013750076294,0.7060868740081787,0.12789671192876995,0.27836865186691284,1.2286264896392822,0.24986389776070914,1.6327762603759766
13,"v3,v1",26,78,3,78,26,0.1833043371637662,1.7159143090248108,0.7060868740081787,0.13238028204068542,0.17098833620548248,1.4822536706924438,0.19562033812204996,1.9495749473571777
14,"v1,v3",28,84,3,84,28,0.12196415786941847,1.7864253520965576,0.7060868740081787,0.1269328489433974,0.13633914291858673,1.5482604503631592,0.1075891728202502,2.024590253829956
15,"v1,v3",30,90,3,90,30,0.09002594773968062,1.8463070392608643,0.7060868740081787,0.12766781798563898,0.10178148746490479,1.6317758560180664,0.07827040801445644,2.060838222503662
16,"v3,v1",32,96,3,96,32,0.0587206936130921,1.8855006098747253,0.7060868740081787,0.12958649499341846,0.052371032536029816,1.6764928102493286,0.06507035469015439,2.094508409500122
