super_epoch,variant_order,variant_epochs_cumulative,optimizer_steps_cumulative,updates_per_super_epoch,mean_train_loss,validation_check,validation_checks_cumulative,mean_val_filtered_MRR,best_mean_val_filtered_MRR,cycle_seconds,batches_no_changes,train_loss_no_changes,batches_all_inverse_edges,train_loss_all_inverse_edges,batches_universal_edges,train_loss_universal_edges,val_raw_MRR_no_changes,val_filtered_MRR_no_changes,val_Hits@1_no_changes,val_Hits@3_no_changes,val_Hits@10_no_changes,val_accuracy_no_changes,val_precision_no_changes,val_recall_no_changes,val_macro_f1_no_changes,val_raw_MRR_all_inverse_edges,val_filtered_MRR_all_inverse_edges,val_Hits@1_all_inverse_edges,val_Hits@3_all_inverse_edges,val_Hits@10_all_inverse_edges,val_accuracy_all_inverse_edges,val_precision_all_inverse_edges,val_recall_all_inverse_edges,val_macro_f1_all_inverse_edges,val_raw_MRR_universal_edges,val_filtered_MRR_universal_edges,val_Hits@1_universal_edges,val_Hits@3_universal_edges,val_Hits@10_universal_edges,val_accuracy_universal_edges,val_precision_universal_edges,val_recall_universal_edges,val_macro_f1_universal_edges
1,"no_changes,all_inverse_edges,universal_edges",3,3,3,0.693145235379537,0,0,,,4.752801320981234,1,0.6931471228599548,1,0.6931431293487549,1,0.6931454539299011,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"all_inverse_edges,no_changes,universal_edges",6,6,3,0.6931484540303549,0,0,,,4.687360872980207,1,0.6931465864181519,1,0.6931471824645996,1,0.693151593208313,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"no_changes,universal_edges,all_inverse_edges",9,9,3,0.6931656002998352,0,0,,,4.688002094859257,1,0.6931471228599548,1,0.6931885480880737,1,0.693161129951477,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"no_changes,all_inverse_edges,universal_edges",12,12,3,0.6931660572687784,0,0,,,4.680868881056085,1,0.6931904554367065,1,0.6931598782539368,1,0.6931478381156921,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"no_changes,universal_edges,all_inverse_edges",15,15,3,0.6931434472401937,0,0,,,4.673589484067634,1,0.6931470036506653,1,0.6931408047676086,1,0.6931425333023071,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"all_inverse_edges,no_changes,universal_edges",18,18,3,0.6931445797284445,0,0,,,4.678788356017321,1,0.6931471228599548,1,0.693139374256134,1,0.6931472420692444,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"all_inverse_edges,universal_edges,no_changes",21,21,3,0.6931412220001221,0,0,,,4.6812175249215215,1,0.693113386631012,1,0.6931420564651489,1,0.6931682229042053,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"no_changes,all_inverse_edges,universal_edges",24,24,3,0.693030854066213,0,0,,,4.683643217897043,1,0.6930270791053772,1,0.6929873824119568,1,0.6930781006813049,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"all_inverse_edges,no_changes,universal_edges",27,27,3,0.6912387212117513,0,0,,,4.6751564219594,1,0.6899890303611755,1,0.6922265291213989,1,0.6915006041526794,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"universal_edges,no_changes,all_inverse_edges",30,30,3,0.6613756616910299,1,1,0.006514320150017738,0.006514320150017738,20.204139549052343,1,0.6565306782722473,1,0.6396246552467346,1,0.6879716515541077,0.005982952658087015,0.005988383200019598,0.0018127883981542518,0.0054383651944627555,0.014667106130520765,0.5773521010249848,0.5141464323925423,0.6807646671061305,0.39743043911054154,0.0061355954967439175,0.0061382451094686985,0.0013183915622940012,0.004614370468029005,0.014996704021094265,0.5887652358240594,0.5143343908057524,0.6819017798286091,0.40261164113400844,0.007413587067276239,0.0074163321405649185,0.001977587343441002,0.006427158866183257,0.016479894528675015,0.5972249150154458,0.5144037023787216,0.6816941331575478,0.4063401079491946
