encoder,seed,super_epochs_ran,variant_epochs_ran,batches_per_variant,optimizer_steps,training_seconds,best_mean_val_loss,mean_test_AUC,mean_test_AP,mean_test_Precision,mean_test_Recall,mean_test_F1,mean_test_Accuracy,mean_test_Hits@1,mean_test_Hits@3,mean_test_Hits@5,mean_test_MRR,mean_test_ranking_queries,mean_test_edge_count
slotgat,1566911444,41,123,1,123,20.901407316094264,0.6931471824645996,0.5,0.25,0.25,1.0,0.4000000000000001,0.25,1.0,1.0,1.0,1.0,2666.0,279998.0
slotgat,20241017,41,123,1,123,20.047723793890327,0.6931471824645996,0.5,0.25,0.25,1.0,0.4000000000000001,0.25,1.0,1.0,1.0,1.0,2666.0,279998.0
slotgat,20251017,41,123,1,123,20.019500340800732,0.6931471824645996,0.5,0.25,0.25,1.0,0.4000000000000001,0.25,1.0,1.0,1.0,1.0,2666.0,279998.0
