super_epoch,variant_order,variant_epochs_cumulative,optimizer_steps_cumulative,updates_per_super_epoch,mean_train_loss,validation_check,validation_checks_cumulative,mean_val_filtered_MRR,best_mean_val_filtered_MRR,cycle_seconds,batches_no_changes,train_loss_no_changes,batches_all_inverse_edges,train_loss_all_inverse_edges,batches_universal_edges,train_loss_universal_edges,val_raw_MRR_no_changes,val_filtered_MRR_no_changes,val_Hits@1_no_changes,val_Hits@3_no_changes,val_Hits@10_no_changes,val_accuracy_no_changes,val_precision_no_changes,val_recall_no_changes,val_macro_f1_no_changes,val_raw_MRR_all_inverse_edges,val_filtered_MRR_all_inverse_edges,val_Hits@1_all_inverse_edges,val_Hits@3_all_inverse_edges,val_Hits@10_all_inverse_edges,val_accuracy_all_inverse_edges,val_precision_all_inverse_edges,val_recall_all_inverse_edges,val_macro_f1_all_inverse_edges,val_raw_MRR_universal_edges,val_filtered_MRR_universal_edges,val_Hits@1_universal_edges,val_Hits@3_universal_edges,val_Hits@10_universal_edges,val_accuracy_universal_edges,val_precision_universal_edges,val_recall_universal_edges,val_macro_f1_universal_edges
1,"no_changes,all_inverse_edges,universal_edges",3,3,3,0.6931471625963846,0,0,,,5.577544356929138,1,0.6931471824645996,1,0.6931471824645996,1,0.6931471228599548,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"universal_edges,all_inverse_edges,no_changes",6,6,3,0.6931471228599548,0,0,,,4.663352894131094,1,0.6931478381156921,1,0.6931467056274414,1,0.693146824836731,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"all_inverse_edges,no_changes,universal_edges",9,9,3,0.6931484540303549,0,0,,,4.679651038022712,1,0.6931451559066772,1,0.6931471824645996,1,0.6931530237197876,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"universal_edges,all_inverse_edges,no_changes",12,12,3,0.6931327978769938,0,0,,,4.684829259058461,1,0.6931121349334717,1,0.6931391358375549,1,0.6931471228599548,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"no_changes,all_inverse_edges,universal_edges",15,15,3,0.6931267778078715,0,0,,,4.677218117052689,1,0.6930941939353943,1,0.693146288394928,1,0.6931398510932922,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"no_changes,universal_edges,all_inverse_edges",18,18,3,0.6931221683820089,0,0,,,4.677138520171866,1,0.6930996179580688,1,0.6931281089782715,1,0.6931387782096863,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"all_inverse_edges,no_changes,universal_edges",21,21,3,0.6929635802904764,0,0,,,4.681637105997652,1,0.6927700638771057,1,0.6929775476455688,1,0.6931431293487549,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"universal_edges,no_changes,all_inverse_edges",24,24,3,0.6911899447441101,0,0,,,4.6680606410373,1,0.6886255145072937,1,0.6923585534095764,1,0.6925857663154602,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"no_changes,universal_edges,all_inverse_edges",27,27,3,0.678721010684967,0,0,,,4.673605494899675,1,0.6739746928215027,1,0.677730917930603,1,0.6844574213027954,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"universal_edges,all_inverse_edges,no_changes",30,30,3,0.6641337672869364,1,1,0.007136205832163493,0.007136205832163493,20.187665998004377,1,0.6546064615249634,1,0.6793196797370911,1,0.6584751605987549,0.006619379855692387,0.0067181773483753204,0.0021423862887277522,0.006097560975609756,0.015161502966381015,0.619656959685654,0.5157343510707466,0.6949110085695451,0.4172644472938636,0.007200085092335939,0.007302122190594673,0.0021423862887277522,0.007086354647330257,0.015985497692814765,0.6490622616877997,0.5160136419767495,0.6919808833223468,0.42972582692270256,0.007382968906313181,0.007388317957520485,0.0024719841793012527,0.007251153592617007,0.016809492419248517,0.6524422557421122,0.516582788918925,0.6980652603823335,0.43173821288953196
11,"universal_edges,all_inverse_edges,no_changes",33,33,3,0.5875107447306315,0,1,,0.007136205832163493,4.676655229879543,1,0.5687365531921387,1,0.5799939632415771,1,0.6138017177581787,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"universal_edges,no_changes,all_inverse_edges",36,36,3,0.5603685180346171,0,1,,0.007136205832163493,4.673024634132162,1,0.5541569590568542,1,0.539254367351532,1,0.5876942276954651,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"no_changes,universal_edges,all_inverse_edges",39,39,3,0.5413158734639486,0,1,,0.007136205832163493,4.670869869878516,1,0.5387089252471924,1,0.5225577354431152,1,0.5626809597015381,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"no_changes,universal_edges,all_inverse_edges",42,42,3,0.5264017085234324,0,1,,0.007136205832163493,4.680290149990469,1,0.5298383831977844,1,0.4976019561290741,1,0.5517647862434387,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"all_inverse_edges,no_changes,universal_edges",45,45,3,0.5011117458343506,0,1,,0.007136205832163493,4.66929012699984,1,0.47158220410346985,1,0.4836074411869049,1,0.548145592212677,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"no_changes,universal_edges,all_inverse_edges",48,48,3,0.48101457953453064,0,1,,0.007136205832163493,4.67624823609367,1,0.4837554395198822,1,0.44080930948257446,1,0.5184789896011353,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"universal_edges,no_changes,all_inverse_edges",51,51,3,0.5293997625509897,0,1,,0.007136205832163493,4.691603716928512,1,0.4742766320705414,1,0.4464418292045593,1,0.6674808263778687,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"all_inverse_edges,no_changes,universal_edges",54,54,3,0.47039910157521564,0,1,,0.007136205832163493,4.677278537070379,1,0.43076735734939575,1,0.4265289902687073,1,0.553900957107544,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"no_changes,all_inverse_edges,universal_edges",57,57,3,0.4694250325361888,0,1,,0.007136205832163493,4.685858549084514,1,0.44152596592903137,1,0.44145095348358154,1,0.5252981781959534,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"all_inverse_edges,universal_edges,no_changes",60,60,3,0.44264010588328045,1,2,0.0034336772902558246,0.007136205832163493,20.057877840008587,1,0.40764614939689636,1,0.42246970534324646,1,0.4978044629096985,0.003980293869972229,0.00399665767326951,0.0011535926170072512,0.002966381015161503,0.006921555702043507,0.8130986079336151,0.5278392458062661,0.7247659854976929,0.5063508054747917,0.003851039335131645,0.003856170456856489,0.0006591957811470006,0.0024719841793012527,0.007910349373764008,0.8432406581617485,0.5313407232538762,0.7194660514172709,0.5213039161956369,0.0024414092767983675,0.0024482037406414747,0.0003295978905735003,0.000988793671720501,0.0034607778510217535,0.8050848553000634,0.5267366947714509,0.7227785102175346,0.5020611305412134
21,"no_changes,all_inverse_edges,universal_edges",63,63,3,0.4238235851128896,0,2,,0.007136205832163493,4.669314299942926,1,0.3850072920322418,1,0.39866548776626587,1,0.48779797554016113,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"all_inverse_edges,universal_edges,no_changes",66,66,3,0.5304927229881287,0,2,,0.007136205832163493,4.676753245992586,1,0.7527951598167419,1,0.3797379732131958,1,0.45894503593444824,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"no_changes,all_inverse_edges,universal_edges",69,69,3,0.401681790749232,0,2,,0.007136205832163493,4.682783673983067,1,0.37816452980041504,1,0.3655763566493988,1,0.4613044857978821,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"no_changes,all_inverse_edges,universal_edges",72,72,3,0.37223081787427265,0,2,,0.007136205832163493,4.675332206999883,1,0.35589540004730225,1,0.3267819285392761,1,0.4340151250362396,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"universal_edges,all_inverse_edges,no_changes",75,75,3,0.3675997157891591,0,2,,0.007136205832163493,4.675263129873201,1,0.3521728813648224,1,0.3299379348754883,1,0.42068833112716675,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"all_inverse_edges,no_changes,universal_edges",78,78,3,0.36527374386787415,0,2,,0.007136205832163493,4.685475046979263,1,0.31679511070251465,1,0.3031284511089325,1,0.4758976697921753,,,,,,,,,,,,,,,,,,,,,,,,,,,
