variant,candidate_BCE,AUC,AP,Precision,Recall,F1,Accuracy
no_changes,0.20502763986587524,0.8674957004490755,0.5944241061457427,0.9325691166554282,0.44128908742820677,0.599090318388564,0.9884192349562672
all_inverse_edges,0.2151525914669037,0.8866103900282184,0.6342302891022283,0.943127962085308,0.4444798978940651,0.6042073302971156,0.9885819037251148
universal_edges,0.18529057502746582,0.8960652908646709,0.6476897786391272,0.8977884040645547,0.47925973197192084,0.6249219887663824,0.9887195465295244
