super_epoch,variant_order,variant_epochs_cumulative,optimizer_steps_cumulative,batches_per_variant,train_graph_forwards_cumulative,validation_graph_forwards_cumulative,mean_train_loss,mean_val_loss,best_mean_val_loss,cycle_seconds,train_loss_v1,val_loss_v1,train_loss_v2,val_loss_v2,train_loss_v3,val_loss_v3
1,"v3,v2,v1",3,30,10,30,3,4271940.203935751,60.31050109863281,60.31050109863281,2.454322606092319,112669.87875061035,68.98110961914062,35742.47993164063,35.045738220214844,12667408.253125,76.90465545654297
2,"v1,v3,v2",6,60,10,60,6,29.993707096576696,0.7057301998138428,0.7057301998138428,2.4446971509605646,24.20538556575775,0.6180635690689087,1.4512932538986205,0.6997394561767578,64.3244424700737,0.7993875741958618
3,"v2,v1,v3",9,90,10,90,9,1.3994258840878804,0.6975450317064921,0.6975450317064921,2.439749180106446,1.4072720646858214,0.6969660520553589,1.3872804045677185,0.696793258190155,1.4037251830101014,0.6988757848739624
4,"v2,v1,v3",12,120,10,120,12,1.3874223033587139,0.698155144850413,0.6975450317064921,2.3935709928628057,1.386566960811615,0.6972700357437134,1.386780047416687,0.697726309299469,1.3889199018478393,0.6994690895080566
5,"v3,v2,v1",15,150,10,150,15,1.3864688754081727,0.69777512550354,0.6975450317064921,2.395013237837702,1.3864105105400086,0.6970479488372803,1.3864592075347901,0.6975508332252502,1.3865369081497192,0.6987265944480896
6,"v1,v2,v3",18,180,10,180,18,1.3864113688468933,0.6980750759442648,0.6975450317064921,2.392888514092192,1.3865018963813782,0.6980651021003723,1.386358916759491,0.6980770230293274,1.3863732933998107,0.6980831027030945
7,"v2,v3,v1",21,210,10,210,21,1.3864047249158222,0.6975069046020508,0.6975069046020508,2.4393106480129063,1.3863437056541443,0.6975018382072449,1.3864951729774475,0.6975075602531433,1.3863752961158753,0.6975113153457642
8,"v2,v1,v3",24,240,10,240,24,1.3869911154111225,0.697085460027059,0.697085460027059,2.4369479089509696,1.3863622069358825,0.6970625519752502,1.388262927532196,0.6970935463905334,1.3863482117652892,0.6971002817153931
9,"v3,v1,v2",27,270,10,270,27,1.3864597121874491,0.697054922580719,0.697054922580719,2.43825505906716,1.3863659381866456,0.6970380544662476,1.3863359212875366,0.6970604062080383,1.3866772770881652,0.6970663070678711
10,"v2,v3,v1",30,300,10,300,30,1.3863698363304138,0.696618378162384,0.696618378162384,2.4405691949650645,1.3863875269889832,0.6965603232383728,1.3863319873809814,0.696635365486145,1.3863899946212768,0.6966594457626343
11,"v3,v2,v1",33,330,10,330,33,1.3863309224446614,0.6962578495343527,0.6962578495343527,2.4409668559674174,1.3863276362419128,0.6962255835533142,1.386331284046173,0.6962653994560242,1.3863338470458983,0.6962825655937195
12,"v3,v2,v1",36,360,10,360,36,1.3863296031951904,0.6959699988365173,0.6959699988365173,2.4413046271074563,1.3863158226013184,0.6959647536277771,1.3863183975219726,0.6959718465805054,1.3863545894622802,0.6959733963012695
13,"v1,v2,v3",39,390,10,390,39,1.3863443771998085,0.6957106391588846,0.6957106391588846,2.4401686270721257,1.386351728439331,0.6957027912139893,1.3863621592521667,0.6957144737243652,1.3863192439079284,0.6957146525382996
14,"v3,v2,v1",42,420,10,420,42,1.3863203446070351,0.6954965194066366,0.6954965194066366,2.439080110983923,1.3863133549690247,0.6954875588417053,1.3863205194473267,0.6955008506774902,1.3863271594047546,0.6955011487007141
15,"v3,v1,v2",45,450,10,450,45,1.386315902074178,0.695349117120107,0.695349117120107,2.4390695029869676,1.3863095402717591,0.6953421235084534,1.3863453984260559,0.6953524947166443,1.3862927675247192,0.6953527331352234
16,"v1,v3,v2",48,480,10,480,48,1.3863092263539631,0.6951819856961569,0.6951819856961569,2.4372575329616666,1.3862911462783813,0.6951776742935181,1.3863123774528503,0.6951839923858643,1.386324155330658,0.6951842904090881
17,"v1,v3,v2",51,510,10,510,51,1.693817369143168,0.6950072646141052,0.6950072646141052,2.44153986684978,1.3863226771354675,0.6950039863586426,1.386308479309082,0.6950088739395142,2.3088209509849547,0.6950089335441589
18,"v3,v1,v2",54,540,10,540,54,1.5279294689496359,0.704828123251597,0.6950072646141052,2.3924876579549164,1.3865287899971008,0.7048205733299255,1.386778426170349,0.7048317790031433,1.8104811906814575,0.7048320174217224
19,"v2,v1,v3",57,570,10,570,57,1.3868750413258872,0.7017931739489237,0.6950072646141052,2.3938881349749863,1.3871993660926818,0.7017889022827148,1.3868414163589478,0.7017951011657715,1.3865843415260315,0.7017955183982849
20,"v3,v2,v1",60,600,10,600,60,1.3865223685900372,0.6992013454437256,0.6950072646141052,2.3950512760784477,1.3864557981491088,0.6991955637931824,1.3865456461906434,0.69920414686203,1.386565661430359,0.6992043256759644
21,"v3,v1,v2",63,630,10,630,63,1.38642494281133,0.6977360844612122,0.6950072646141052,2.3960599049460143,1.3864320039749145,0.6976636648178101,1.386409854888916,0.697772204875946,1.3864329695701598,0.6977723836898804
22,"v2,v3,v1",66,660,10,660,66,1.386361904939016,0.697120209534963,0.6950072646141052,2.3959565709810704,1.3862968921661376,0.6971193552017212,1.386328673362732,0.6971205472946167,1.3864601492881774,0.697120726108551
23,"v2,v1,v3",69,690,10,690,69,1.3863667527834576,0.6965813636779785,0.6950072646141052,2.394142758101225,1.3863746523857117,0.6965805888175964,1.3863619089126586,0.6965816617012024,1.386363697052002,0.6965818405151367
24,"v2,v1,v3",72,720,10,720,72,1.3863452871640523,0.6960870226224264,0.6950072646141052,2.394657381810248,1.3863157868385314,0.6960864663124084,1.3863579511642456,0.6960872411727905,1.38636212348938,0.6960873603820801
25,"v1,v3,v2",75,750,10,750,75,1.3863191088040672,0.6957438190778097,0.6950072646141052,2.3938568430021405,1.3863020539283752,0.6957433819770813,1.386333668231964,0.695743978023529,1.3863216042518616,0.6957440972328186
26,"v3,v1,v2",78,780,10,780,78,1.3863165616989137,0.6954398155212402,0.6950072646141052,2.393738330807537,1.3863109469413757,0.695439338684082,1.3863004326820374,0.6954399943351746,1.3863383054733276,0.6954401135444641
